"city_code","covid.percapita.committed.fed","covid.percapita.committed.city","covid.percapita.committed.state","covid.percapita.disbursed.fed","covid.percapita.disbursed.city","covid.percapita.disbursed.state"
1100015,103.109481696586,0,5.7198169658699e-05,111.95940249912,0,0
1100023,125.088131442711,12.9407433141897,58.024716178337,122.665266930234,11.9285744546808,45.1415317330606
1100031,231.291782960678,0,1.97003469545104,185.192758288358,0,1.97003469545104
1100049,55.7447923579337,1.2044505372964,12.7966841302551,49.4665245130569,1.2044505372964,12.9824492100637
1100056,53.9474555665268,5.70616823006665,9.2569735867687e-05,91.2090280177734,5.70024376697112,9.2569735867687e-05
1100064,137.707135872362,0,0.21159289758106,137.379549665466,0,1.48224395265054
1100072,14.2027008310249,1.64448753462604,2.47762049861496,19.7414390581717,1.6444487534626,2.47762049861496
1100080,8.58189701032025,0,0,27.4033141823598,0,0
1100098,42.0897250344089,0,2.04012846000918,31.7583838507417,0,0.185104756078911
1100106,0,0,0,0,0,0
1100114,130.763051917861,33.6294329717164,10.1583756296009,135.419774118559,33.6294329717164,10.1583659434328
1100122,75.3808897845534,13.6834260705028,1.96725795906437,53.2592238229661,11.4909701636041,1.96725319016376
1100130,6.85149387042048e-05,0,9.78784838679822e-06,4.40453177386336e-05,0,2.15332664498166e-05
1100148,33.8092239738396,4.88066767562208e-06,6.73532139198249e-05,33.8092239738396,4.88066767562208e-06,1.92723266142808
1100155,90.6464983070767,0,0,89.1354593278675,0,0
1100189,107.344564138716,5.87036495756623,2.07224370271956,91.5624484151731,2.31528239472899,0.820625796480573
1100205,37.3703817344453,14.0764250751825,7.5315922752033,34.9742831795073,13.7267805745392,7.5315922752033
1100254,128.835438587044,0,0.00220774325561359,112.102237897798,0,1.95530666092294
1100262,84.3170741324921,0,2.77648790746583,33.5319321766561,0,2.21200578338591
1100288,46.9078305990218,0,1.61616781273124,46.669611240457,0,2.80307560416554
1100296,106.002018983269,0,0,101.081658622909,0,0
1100304,69.5008264276839,0,1.98427194724638,64.5089403293188,0,1.98427194724638
1100320,72.1695081683061,0,0,90.7647042509858,0,0
1100338,39.9033221839959,0.0126146788990826,-1.06269622833843,35.4749187691131,0.0126146788990826,0.203897808358818
1100346,55.6032397561321,0,0.0211257620870552,65.2959152133844,0,0.0211257620870552
1100379,27.5393579781215,9.21036061863448,0.625907204828367,33.2771112787627,9.21036061863448,0.404526593738212
1100403,-1.28027280633497,0,0,-7.71290703529089,0,0
1100452,29.2627495291902,0.159633511745465,2.04053920111012,35.5532480919814,0.663071414411736,2.04053920111012
1100502,60.1388546043943,0,0,75.9113639092328,0,0
1100601,33.7279757537087,0,0,33.6147998085819,0,0
1100700,43.4344364222627,12.6979636898921,1.1135567082574,43.4344364222627,12.6979636898921,1.1135567082574
1100809,54.9328592814371,0,0,34.0906064699869,0,0
1100908,0.000810177435546175,-135.008778038165,0,0.000810177435546175,0.000870438567079872,0
1100924,52.2351621338912,1.37147228033473,1.12874825662483,52.2351621338912,1.37147228033473,1.12874825662483
1100940,34.2093694381851,0,0.153420158117863,33.6024374594202,0,0.153420158117863
1101005,65.6344257891202,0,0,48.3249469442579,0,0
1101104,0,0,0,0,0,0
1101203,50.2030641280469,0,0,47.1924207553091,0,0
1101302,93.0170225550009,0,0,83.2436753558883,0,0
1101401,93.8777291185107,0,1.58405697507341,92.9015393265446,0,1.31192603236084
1101435,12.1955953589558,0,0,48.3206134880348,0,0
1101450,168.45441755405,0,2.12345918038077,163.780167796063,0,2.12345918038077
1101468,621.588268156425,0.000372439478585238,0.00075418994413191,542.883677839851,0.000372439478586085,-28.4741061452514
1101476,1.32653097982709,0,0,3.03510446685879,0,0
1101484,63.8049842084485,0,0.396831819976313,63.8049842084485,0,0.396831819976313
1101492,72.9576326096417,0.147226923262898,0.184372129007301,85.2938470093322,0.121379043566559,0.184372129007301
1101500,31.1676693949878,0,1.83590076786769,31.1676693949878,0,1.83590076786769
1101559,4.41988660524451,22.9765178360501,0,3.3227261989133,17.567198204583,0
1101609,66.6271322751323,0,0,54.5065521885522,0,0
1101708,156.986903832505,0,0.0865862313697658,153.32229418027,0,0.0419623846699787
1101757,6.58484837830711,0,0,3.12766634437901,0,0
1101807,46.0921859975962,0,1.8580859375,46.0919756610577,0,1.8580859375
1200013,95.2833440929632,1.85614525500323,0,93.5958295674629,1.85614525500323,0
1200054,120.835326519777,5.84019113355891e-05,0,104.461554287231,3.98194850017136e-05,0
1200104,30.0546239982024,0,0,30.0546239982024,0,0
1200138,0,0,0,0,0,0
1200179,57.7780388074617,0,0,57.5581853764157,0,0
1200203,4.69776585234417,0,0,0.400339051553799,0,0
1200252,51.2533322635858,0,0,51.2533322635858,0,0
1200302,15.6108339066621,0,0,15.3559319458778,0,0
1200328,23.9671721940281,2.66115897556946,0,24.0351528384279,0.342381682993037,0
1200336,12.4300595515509,0,0,12.4301372274869,0,0
1200344,67.3721761820269,6.54795950318338,0,65.7408266360505,4.89092996555683,0
1200351,6.01067412896529e-05,0,0,18.7857842375253,0,0
1200385,97.1991991981959,0,0,97.1991791530945,0,0
1200393,3.65212155869618,0,0,11.4419263132097,0,0
1200401,23.359920951676,4.67369555752289,0.0655210948725019,18.7430705242636,4.67369555752289,0.0655210948725019
1200427,14.1498852772467,0,0,16.8018412485143,0,0
1200435,0,0,0,0,0,0
1200450,50.3145679118609,0,0,32.0431507144087,0,0
1200500,88.2975962675496,0.213798886284965,0,82.4524349078713,0.213798886284965,0
1200609,42.4203536418623,0,0,42.4203536418623,0,0
