"city_UF","votes_pct.JB"
"CARAUARI (am)",0.197714190372904
"CAREIRO (am)",0.305343511450382
"COARI (am)",0.311685805268745
"CODAJÁS (am)",0.358159783503942
"EIRUNEPÉ (am)",0.262006180572956
"ENVIRA (am)",0.22390438247012
"FONTE BOA (am)",0.173486606201223
"HUMAITÁ (am)",0.422557894152274
"SANTA ISABEL DO RIO NEGRO (am)",0.351610523727563
"IPIXUNA (am)",0.20606250981624
"ITACOATIARA (am)",0.34526636498051
"ITAPIRANGA (am)",0.391741548994437
"JAPURÁ (am)",0.253125
"JURUÁ (am)",0.295216741405082
"JUTAÍ (am)",0.184990568579898
"LÁBREA (am)",0.24343339587242
"MANACAPURU (am)",0.394777163413497
"MANAUS (am)",0.657187024985579
"MANICORÉ (am)",0.285665470698787
"MARAÃ (am)",0.168720953728026
"MAUÉS (am)",0.156958670947358
"NHAMUNDÁ (am)",0.146671250143234
"NOVA OLINDA DO NORTE (am)",0.195367768194592
"NOVO ARIPUANÃ (am)",0.189296468655899
"PARINTINS (am)",0.174993648911847
"PAUINI (am)",0.264179104477612
"SANTO ANTÔNIO DO IÇÁ (am)",0.172049689440994
"SÃO PAULO DE OLIVENÇA (am)",0.12337244815946
"SILVES (am)",0.165052631578947
"TAPAUÁ (am)",0.31723692704971
"TEFÉ (am)",0.301771646262529
"SÃO GABRIEL DA CACHOEIRA (am)",0.224220971392097
"URUCARÁ (am)",0.210992907801418
"URUCURITUBA (am)",0.18984718984719
"ALVARÃES (am)",0.206741573033708
"AMATURÁ (am)",0.199246349505417
"ANAMÃ (am)",0.302838577291382
"BERURI (am)",0.244100786561792
"BOA VISTA DO RAMOS (am)",0.108108108108108
"CAAPIRANGA (am)",0.286807278742763
"IRANDUBA (am)",0.377391828995001
"ITAMARATI (am)",0.164995224450812
"MANAQUIRI (am)",0.223017902813299
"PRESIDENTE FIGUEIREDO (am)",0.42229774756764
"RIO PRETO DA EVA (am)",0.469512797707283
"SÃO SEBASTIÃO DO UATUMÃ (am)",0.425939050318923
"TABATINGA (am)",0.308745080891998
"UARINI (am)",0.227776615770759
"TONANTINS (am)",0.157714463646271
"PRACUÚBA (ap)",0.34187643020595
"AMAPÁ (ap)",0.35283907760972
"PORTO GRANDE (ap)",0.412159892509237
"CALÇOENE (ap)",0.347329037622116
"ITAUBAL (ap)",0.330687830687831
"MACAPÁ (ap)",0.551489350026979
"CUTIAS (ap)",0.289750090546903
"MAZAGÃO (ap)",0.305851305851306
"PEDRA BRANCA DO AMAPARI (ap)",0.402450009007386
"OIAPOQUE (ap)",0.328542658366899
"SERRA DO NAVIO (ap)",0.490968801313629
"FERREIRA GOMES (ap)",0.436349289847449
"VITÓRIA DO JARI (ap)",0.271813686393364
"LARANJAL DO JARI (ap)",0.410892409452179
"SANTANA (ap)",0.531509865356931
"TARTARUGALZINHO (ap)",0.363068379035057
"LUÍS EDUARDO MAGALHÃES (ba)",0.587978684499243
"EUNÁPOLIS (ba)",0.494088687029782
"IUIU (ba)",0.163979892529034
"JABORANDI (ba)",0.212961387991155
"JUSSARI (ba)",0.367333333333333
"AMÉRICA DOURADA (ba)",0.121870960159831
"ARATACA (ba)",0.272469252601703
"BARRO ALTO (ba)",0.156214203894616
"BARROCAS (ba)",0.143463325924429
"BURITIRAMA (ba)",0.193230040461857
"CAPELA DO ALTO ALEGRE (ba)",0.242772667542707
"CAPIM GROSSO (ba)",0.320785597381342
"CANUDOS (ba)",0.136537541846007
"DIAS D'ÁVILA (ba)",0.250164393744461
"FÁTIMA (ba)",0.113370998116761
"FILADÉLFIA (ba)",0.20893771331058
"GAVIÃO (ba)",0.271344624956792
"GUAJERU (ba)",0.126955338925414
"HELIÓPOLIS (ba)",0.109446175976984
"JOÃO DOURADO (ba)",0.297353816456205
"ABAÍRA (ba)",0.392696122633003
"ABARÉ (ba)",0.21794333683106
"ACAJUTIBA (ba)",0.198921832884097
"ADUSTINA (ba)",0.138963621476196
"ÁGUA FRIA (ba)",0.160398087113868
"ÉRICO CARDOSO (ba)",0.219199378157792
"AIQUARA (ba)",0.184753014391287
"ALAGOINHAS (ba)",0.324707235466332
"ALCOBAÇA (ba)",0.240848343986055
"ALMADINA (ba)",0.19904912836767
"AMARGOSA (ba)",0.332190863814063
"AMÉLIA RODRIGUES (ba)",0.196360299740021
"ANAGÉ (ba)",0.206663957740756
"ANDARAÍ (ba)",0.125216637781629
"ANDORINHA (ba)",0.0791740282685512
"ANGICAL (ba)",0.177342047930283
"ANGUERA (ba)",0.138292873923258
"ANTAS (ba)",0.201759285115889
"ANTÔNIO CARDOSO (ba)",0.106096866096866
"ANTÔNIO GONÇALVES (ba)",0.227359638449505
"APORÁ (ba)",0.195455626933143
"ARAÇÁS (ba)",0.172236145920356
"ARACATU (ba)",0.192368480469632
"APUAREMA (ba)",0.233756345177665
"ARACI (ba)",0.126992704674412
"ARAMARI (ba)",0.123757763975155
"ARATUÍPE (ba)",0.15140974002197
"AURELINO LEAL (ba)",0.197696139476961
"BAIANÓPOLIS (ba)",0.217821782178218
"BAIXA GRANDE (ba)",0.257806973218797
"BANZAÊ (ba)",0.208412741628097
"BARRA (ba)",0.150352258599254
"BARRA DA ESTIVA (ba)",0.232056005895357
"BARRA DO CHOÇA (ba)",0.196705882352941
"BARRA DO MENDES (ba)",0.0919716646989375
"BARRA DO ROCHA (ba)",0.256841282251759
"BARREIRAS (ba)",0.405280912576375
"BARRO PRETO (ba)",0.28758855943322
"BELMONTE (ba)",0.269574721780604
"BELO CAMPO (ba)",0.256213948610383
"BIRITINGA (ba)",0.0944839474251239
"BOA NOVA (ba)",0.118659903897491
"BOA VISTA DO TUPIM (ba)",0.26273975712178
"BOM JESUS DA LAPA (ba)",0.199230868665977
"BOM JESUS DA SERRA (ba)",0.0971262277191706
"BONINAL (ba)",0.238578680203046
"BONITO (ba)",0.144628099173554
"BOQUIRA (ba)",0.0798938409444495
"BOTUPORÃ (ba)",0.150314465408805
"BREJÕES (ba)",0.22804178313962
"BREJOLÂNDIA (ba)",0.23731778425656
"BROTAS DE MACAÚBAS (ba)",0.263777596075225
"BRUMADO (ba)",0.321790341578327
"BUERAREMA (ba)",0.552640865780496
"CAATIBA (ba)",0.334212261041529
"CABACEIRAS DO PARAGUAÇU (ba)",0.134948866162739
"CACHOEIRA (ba)",0.16166047924401
"CACULÉ (ba)",0.307436089599467
"CAEM (ba)",0.125587278641128
"CAETANOS (ba)",0.0875210019856423
"CAETITÉ (ba)",0.20661185455296
"CAFARNAUM (ba)",0.228181427343078
"CAIRU (ba)",0.299291418288157
"CALDEIRÃO GRANDE (ba)",0.116812556595231
"CAMACÃ (ba)",0.368053158439765
"CAMAÇARI (ba)",0.351125178523179
"CAMAMU (ba)",0.347260411776541
"CAMPO ALEGRE DE LOURDES (ba)",0.105573052170341
"CAMPO FORMOSO (ba)",0.23561352142667
"CANÁPOLIS (ba)",0.18059114983769
"CANARANA (ba)",0.164712194374186
"CANAVIEIRAS (ba)",0.327180783817952
"CANDEAL (ba)",0.189667896678967
"CANDEIAS (ba)",0.152548926937206
"CANDIBA (ba)",0.200960472848171
"CÂNDIDO SALES (ba)",0.223875968992248
"CANSANÇÃO (ba)",0.10529971150764
"CARAÍBAS (ba)",0.212568306010929
"CARAVELAS (ba)",0.294536296945144
"CARDEAL DA SILVA (ba)",0.0922190201729106
"CARINHANHA (ba)",0.295885087780168
"CASA NOVA (ba)",0.165211743309951
"CASTRO ALVES (ba)",0.141414141414141
"CATOLÂNDIA (ba)",0.194370483073412
"CATU (ba)",0.20730356524749
"CATURAMA (ba)",0.132584712371946
"CENTRAL (ba)",0.191566009747828
"CHORROCHÓ (ba)",0.129988597491448
"CÍCERO DANTAS (ba)",0.210086878032269
"CIPÓ (ba)",0.274107040967705
"COARACI (ba)",0.329683698296837
"COCOS (ba)",0.291155466031862
"CONCEIÇÃO DA FEIRA (ba)",0.203372139702931
"CONCEIÇÃO DO ALMEIDA (ba)",0.155723416618245
"CONCEIÇÃO DO COITÉ (ba)",0.351130299536081
"CONCEIÇÃO DO JACUÍPE (ba)",0.25678544786825
"CONDE (ba)",0.19287193648602
"CONDEÚBA (ba)",0.290084278430965
"CONTENDAS DO SINCORÁ (ba)",0.204924242424242
"CORAÇÃO DE MARIA (ba)",0.165988934071062
"CORDEIROS (ba)",0.347514554411106
"CORIBE (ba)",0.21437154530161
"CORONEL JOÃO SÁ (ba)",0.120972058666096
"CORRENTINA (ba)",0.215553385790592
"COTEGIPE (ba)",0.166292431647074
"CRAVOLÂNDIA (ba)",0.155980502437195
"CRISÓPOLIS (ba)",0.139003578309937
"CRISTÓPOLIS (ba)",0.211540837761028
"CRUZ DAS ALMAS (ba)",0.298118789773362
"CURAÇÁ (ba)",0.140784402629789
"DÁRIO MEIRA (ba)",0.168353444920202
"DOM BASÍLIO (ba)",0.107147610807933
"DOM MACEDO COSTA (ba)",0.25448275862069
"ELÍSIO MEDRADO (ba)",0.210120068610635
"ENCRUZILHADA (ba)",0.236209476309227
"ENTRE RIOS (ba)",0.182618314736437
"ESPLANADA (ba)",0.194538849173796
"EUCLIDES DA CUNHA (ba)",0.15524113192507
"FEIRA DA MATA (ba)",0.343122565178304
"FEIRA DE SANTANA (ba)",0.371492538276416
"FIRMINO ALVES (ba)",0.270200387847447
"FLORESTA AZUL (ba)",0.253438511326861
"FORMOSA DO RIO PRETO (ba)",0.268406413612565
"GANDU (ba)",0.369335650314129
"GENTIO DO OURO (ba)",0.152671755725191
"GLÓRIA (ba)",0.0935537881958979
"GONGOGI (ba)",0.161135928525846
"GOVERNADOR MANGABEIRA (ba)",0.208020050125313
"GUANAMBI (ba)",0.322678620054042
"GUARATINGA (ba)",0.260431956384986
"IAÇU (ba)",0.161805296531145
"IBIASSUCÊ (ba)",0.30161370820163
"IBICARAÍ (ba)",0.375921980003278
"IBICOARA (ba)",0.278947368421053
"IBICUÍ (ba)",0.248772274449277
"IBIPEBA (ba)",0.117708770457407
"SANTA RITA DE CÁSSIA (ba)",0.205397923875433
"IBIPITANGA (ba)",0.212837417589252
"IBIQUERA (ba)",0.131051344743276
"IBIRAPITANGA (ba)",0.234701375039362
"IBIRAPUÃ (ba)",0.469567081011573
"IBIRATAIA (ba)",0.324453280318091
"IBITIARA (ba)",0.252975817566721
"IBITITÁ (ba)",0.13032319391635
"IBOTIRAMA (ba)",0.297393709959231
"ICHU (ba)",0.191431401684002
"IGAPORÃ (ba)",0.112770048637032
"IGRAPIÚNA (ba)",0.211006076975017
"IGUAÍ (ba)",0.298954942607504
"ILHÉUS (ba)",0.393175239367624
"INHAMBUPE (ba)",0.196459679685305
"IPECAETÁ (ba)",0.145655704425497
"IPIAÚ (ba)",0.313837848077287
"IPIRÁ (ba)",0.175834667980781
"IPUPIARA (ba)",0.271274685816876
"IRAJUBA (ba)",0.168254832561939
"IRAMAIA (ba)",0.21310861423221
"IRAQUARA (ba)",0.0762384815310704
"IRARÁ (ba)",0.166646077825818
"IRECÊ (ba)",0.261348359600698
"ITABELA (ba)",0.325659505982786
"ITABERABA (ba)",0.25051121316751
"ITABUNA (ba)",0.486892681426814
"ITACARÉ (ba)",0.237361097206928
"ITAETÉ (ba)",0.237012987012987
"ITAGI (ba)",0.278066142666469
"ITAGIBÁ (ba)",0.28468612554978
"ITAGIMIRIM (ba)",0.345157232704402
"ITAGUAÇU DA BAHIA (ba)",0.108458591217212
"ITAJU DO COLÔNIA (ba)",0.441706161137441
"ITAJUÍPE (ba)",0.311290322580645
"ITAMARAJU (ba)",0.448140043763676
"ITAMARI (ba)",0.270596941292551
"ITAMBÉ (ba)",0.293021201413428
"ITANAGRA (ba)",0.132416396979504
"ITANHÉM (ba)",0.387496284553651
"ITAPARICA (ba)",0.187748291752741
"ITAPÉ (ba)",0.329105583923571
"ITAPEBI (ba)",0.236218980867589
"ITAPETINGA (ba)",0.536871123363198
"ITAPICURU (ba)",0.102909912304013
"ITAPITANGA (ba)",0.260499871167225
"ITAQUARA (ba)",0.255232029117379
"ITARANTIM (ba)",0.403442948576473
"ITATIM (ba)",0.253866465484723
"ITIRUÇU (ba)",0.272193321027018
"ITIÚBA (ba)",0.24559887676855
"ITORORÓ (ba)",0.356896381741102
"ITUAÇU (ba)",0.290692124105012
"ITUBERÁ (ba)",0.316449348044132
"JACARACI (ba)",0.202588416196822
"JACOBINA (ba)",0.237071568319606
"JAGUAQUARA (ba)",0.300924101081768
"JAGUARARI (ba)",0.219774749548877
"JAGUARIPE (ba)",0.132071389940508
"JANDAÍRA (ba)",0.145304080061586
"JEQUIÉ (ba)",0.333432084135684
"JEREMOABO (ba)",0.141872182444975
"JIQUIRIÇÁ (ba)",0.210127306536976
"JITAÚNA (ba)",0.253998968008256
"JUAZEIRO (ba)",0.302818988511358
"JUCURUÇU (ba)",0.234945705824284
"JUSSARA (ba)",0.0689173457508732
"JUSSIAPE (ba)",0.230751760163525
"LAFAIETE COUTINHO (ba)",0.142181818181818
"LAGOA REAL (ba)",0.106465922839091
"LAJE (ba)",0.247930152039741
"LAJEDÃO (ba)",0.406303528605687
"LAJEDINHO (ba)",0.137516688918558
"LAJEDO DO TABOCAL (ba)",0.179139938227608
"LAMARÃO (ba)",0.10120532003325
"LAURO DE FREITAS (ba)",0.343361564066911
"LENÇÓIS (ba)",0.136883629191321
"LICÍNIO DE ALMEIDA (ba)",0.242975451049985
"LIVRAMENTO DE NOSSA SENHORA (ba)",0.19458784346378
"MACAJUBA (ba)",0.228358725761773
"MACARANI (ba)",0.380445189085687
"MACAÚBAS (ba)",0.180769407546996
"MACURURÉ (ba)",0.131995277449823
"MAIQUINIQUE (ba)",0.388072238555229
"MAIRI (ba)",0.204857676667766
"MALHADA (ba)",0.244439322346433
"MALHADA DE PEDRAS (ba)",0.241574091508191
"MANOEL VITORINO (ba)",0.138946638946639
"MARACÁS (ba)",0.205105698193256
"MARAGOGIPE (ba)",0.167057819500747
"MARAÚ (ba)",0.176608043291108
"MARCIONÍLIO SOUZA (ba)",0.159109149277689
"MASCOTE (ba)",0.260644007155635
"MATA DE SÃO JOÃO (ba)",0.219181986603962
"MATINA (ba)",0.0820918684047176
"MEDEIROS NETO (ba)",0.409407227299405
"MIGUEL CALMON (ba)",0.258485639686684
"MILAGRES (ba)",0.216952054794521
"MIRANGABA (ba)",0.163389913298327
"MIRANTE (ba)",0.173895084675754
"MONTE SANTO (ba)",0.0898567092538999
"MORPARÁ (ba)",0.265874641540352
"MORRO DO CHAPÉU (ba)",0.186054763735289
"MORTUGABA (ba)",0.411527284468841
"MUCUGÊ (ba)",0.256139209627582
"MUCURI (ba)",0.408824934320516
"MULUNGU DO MORRO (ba)",0.0956310022994725
"MUNDO NOVO (ba)",0.167279787451461
"MUNIZ FERREIRA (ba)",0.201496623471436
"MUQUÉM DO SÃO FRANCISCO (ba)",0.177818362942055
"MURITIBA (ba)",0.169776825116631
"MUTUÍPE (ba)",0.309786295793758
"NAZARÉ (ba)",0.205747497578302
"NILO PEÇANHA (ba)",0.202777313033294
"NOVA CANAÃ (ba)",0.178246926777125
"NOVA FÁTIMA (ba)",0.239802955665025
"NOVA ITARANA (ba)",0.200945626477541
"NOVA REDENÇÃO (ba)",0.0877526753864447
"NOVA SOURE (ba)",0.109933967056092
"NOVA VIÇOSA (ba)",0.456197099574101
"NOVO TRIUNFO (ba)",0.154283394234673
"OLINDINA (ba)",0.115925058548009
"OLIVEIRA DOS BREJINHOS (ba)",0.156133506718682
"OURIÇANGAS (ba)",0.16068534382959
"OUROLÂNDIA (ba)",0.274181346590295
"PALMAS DE MONTE ALTO (ba)",0.129459241323648
"PALMEIRAS (ba)",0.114857960351523
"PARAMIRIM (ba)",0.179468577128866
"PARATINGA (ba)",0.145214105793451
"PARIPIRANGA (ba)",0.166858040732459
"PAU BRASIL (ba)",0.363919451941042
"PAULO AFONSO (ba)",0.208163619031112
"PEDRÃO (ba)",0.0954063604240283
"PEDRO ALEXANDRE (ba)",0.0969951735948934
"PIATÃ (ba)",0.228757552870091
"PILÃO ARCADO (ba)",0.121860206070732
"PINDAÍ (ba)",0.170592119744662
"PINDOBAÇU (ba)",0.266812574612017
"PIRAÍ DO NORTE (ba)",0.229083665338645
"PIRIPÁ (ba)",0.241249529544599
"PIRITIBA (ba)",0.223357981731187
"PLANALTINO (ba)",0.128829024549207
"PLANALTO (ba)",0.252422774076317
"POÇÕES (ba)",0.241792874026088
"POJUCA (ba)",0.223782820606886
"PONTO NOVO (ba)",0.182761950748431
"PORTO SEGURO (ba)",0.425889209324682
"POTIRAGUÁ (ba)",0.337003539127015
"PRADO (ba)",0.37787455114982
"PRESIDENTE DUTRA (ba)",0.103078193183158
"PRESIDENTE JÂNIO QUADROS (ba)",0.16643571978445
"PRESIDENTE TANCREDO NEVES (ba)",0.289477567886659
"QUEIMADAS (ba)",0.203801236546828
"QUINJINGUE (ba)",0.172780325135473
"REMANSO (ba)",0.157108749590375
"RETIROLÂNDIA (ba)",0.15983417779825
