"city_code","city.area"
1100015,7067
1100023,4426.6
1100031,1314.4
1100049,3792.8
1100056,2783.3
1100064,1451.1
1100072,3060.3
1100080,4987.2
1100098,4518
1100106,24855.8
1100114,2944.1
1100122,6896.7
1100130,8509.3
1100148,1155.4
1100155,1969.9
1100189,6240.9
1100205,34096.4
1100254,1758.5
1100262,1717.6
1100288,1457.9
1100296,1197.8
1100304,11519
1100320,8007.9
1100338,10071.7
1100346,3029.2
1100379,3958.3
1100403,2651.8
1100452,3265.8
1100502,843.4
1100601,1961.8
1100700,3442
1100809,6843.9
1100908,892.8
1100924,5126.7
1100940,3863.9
1101005,5067.4
1101104,4081.6
1101203,798.1
1101302,1191.9
1101401,1931.4
1101435,807.1
1101450,2548.7
1101468,6014.7
1101476,605.7
1101484,541.6
1101492,10959.8
1101500,3773.5
1101559,460
1101609,2197.4
1101708,831.9
1101757,3135.1
1101807,965.7
1200013,1807.9
1200054,4974.2
1200104,3916.5
1200138,3034.8
1200179,1702.6
1200203,8779.2
1200252,1654.8
1200302,27974.6
1200328,5357.3
1200336,5453
1200344,10634.5
1200351,8191.7
1200385,1943.2
1200393,6443.9
1200401,8835.7
1200427,3077
1200435,6145.6
1200450,2321.5
1200500,23751.3
1200609,20171
1200708,5347.3
1200807,2604.7
1300029,5911.8
1300060,4758.7
1300086,2453.9
1300102,5795.3
1300144,54239.9
1300201,76351.9
1300300,7599.4
1300409,122476
1300508,5750.6
1300607,8793.4
1300631,17250.7
1300680,2586.8
1300706,21952.8
1300805,44251.7
1300839,9456.6
1300904,29819.7
1301001,25767.7
1301100,6091.5
1301159,2631.1
1301209,57921.9
1301308,18711.5
1301407,15011.8
1301506,7499.4
1301605,12110.9
1301654,7579.6
1301704,33071.8
1301803,12044.8
1301852,2214.3
1301902,8892
1301951,25276
1302009,4231.1
1302108,55791.9
1302207,19400.7
1302306,69551.9
1302405,68234
1302504,7330.1
1302553,3975.8
1302603,11401.1
1302702,48282.7
1302801,16910.4
1302900,39989.9
1303007,14105.6
1303106,5608.6
1303205,37771.3
1303304,41188.5
1303403,5952.4
1303502,41610.3
1303536,25422.3
1303569,5813.2
1303601,62846.4
1303700,12307.2
1303809,109183.5
1303908,19745.9
1303957,10741.1
1304005,3748.8
1304062,3224.9
1304104,89325.3
1304203,23704.5
1304237,6432.7
1304260,10246.2
1304302,27903.4
1304401,2906.7
1400027,28472.3
1400050,25567
1400100,5687
1400159,8095.4
1400175,7664.8
1400209,47410.9
1400233,12066.2
1400282,14409.6
1400308,12461.2
1400407,6966.8
1400456,8028.5
1400472,33594
1400506,4285
1400605,1526.9
1400704,8065.5
1500107,1610.6
1500131,614.3
1500206,4343.8
1500305,8372.8
1500347,7113.9
1500404,23645.4
1500503,72954.5
1500602,159533.4
1500701,6921.7
1500800,190.5
1500859,11895.5
1500909,1091.5
1500958,1811.8
1501006,17073.8
1501105,4397.3
1501204,3758.3
1501253,2956.6
1501303,1310.3
1501402,1059.4
1501451,4398.4
1501501,187.8
1501576,2816.5
1501600,586.7
1501709,2091.9
1501725,6362.6
1501758,1288.5
1501782,3941.9
1501808,9550.5
1501907,1005.2
1501956,2462
1502004,3101.7
1502103,3081.4
1502152,3146.4
1502202,613.6
1502301,2899.5
1502400,1028.9
1502509,13084.9
1502608,609.8
1502707,5829.5
1502756,690.9
1502764,17085
1502772,2368.7
1502806,3617.2
1502855,1431.2
1502905,672.7
1502939,5268.8
1502954,2956.7
1503002,11770.6
1503044,3444.3
1503077,1599
1503093,7023.9
1503101,8540.1
1503200,786
1503309,1996.8
1503408,471.4
1503457,5215.5
1503507,1379.4
1503606,62040.1
1503705,7880.1
1503754,53303
1503804,2008.3
1503903,8305.1
1504000,1490.2
1504059,469.5
1504109,323.7
1504208,15128.4
1504307,857.2
1504406,796
1504422,103.3
1504455,8272.6
1504505,6774
1504604,870.8
1504703,9094.1
1504802,18152.5
1504901,3765.5
1504950,2809.6
1504976,1564.2
1505007,489.9
1505031,38162.4
1505064,15398.7
1505106,28021.3
1505205,3852.3
1505304,107603.2
1505403,562.4
1505437,14339.4
1505486,11832.3
1505494,984.4
1505502,19341.9
1505536,6957.3
1505551,1671.4
1505601,451.3
1505635,3312.7
1505650,7173.2
1505700,3365.1
1505809,25384.9
1505908,17423.2
1506005,14786.7
1506104,258.6
1506112,324.3
1506138,3823.8
1506161,4114.6
1506187,8246.4
1506195,7021.3
1506203,237.5
1506302,1039.1
1506351,278.2
1506401,1075.2
1506500,717.7
1506559,1356.1
1506583,10330.2
1506609,457.7
1506708,11591.5
1506807,22886.8
1506906,229.5
1507003,537.6
1507102,743.5
1507151,1392.5
1507201,1677.3
1507300,84213.1
1507409,479.6
1507458,3168.4
1507466,195.9
1507474,705.8
1507508,1279.9
1507607,1110.2
1507706,1632.2
1507755,1298.2
1507805,14374.2
1507904,3517.3
1507953,4430.2
1507961,206.4
1507979,1896.5
1508001,5145.3
1508035,936.1
1508050,11991.1
1508084,2512.6
1508100,2086.2
1508126,5088.4
1508159,10791.3
1508209,539.1
1508308,4915
1508357,3135.2
1508407,3779.3
1600055,7756.1
1600105,9175.9
1600154,9495.5
1600204,14269.3
1600212,2114.2
1600238,5046.2
1600253,1704
1600279,30971.8
1600303,6408.5
1600402,13130.9
1600501,22625.1
1600535,4401.8
1600550,4956.5
