"city_code","wages_less0.25","wages_0.25to0.5","wages_0.5to1","wages_1to2","wages_2to3","wages_3to5","wages_5to10","wages_10to15","wages_15to20","wages_20to30","wages_30plus","wages_noWage","wages_avg"
2104099,9.04,7.36,17.06,5.11,0.99,0.69,0.37,0.02,0.02,0,0.02,59.33,0.3469
2104107,6.56,7.42,23.08,8.66,2.09,1.53,0.93,0.13,0.09,0.03,0.04,49.44,0.581925
2104206,9.36,8.36,21.35,7.8,1.84,1.25,0.71,0.07,0.03,0.02,0.01,49.21,0.503125
2104305,12.62,10.42,21.67,8.63,1.51,1.33,0.95,0.13,0.12,0.04,0,42.59,0.57205
2104404,13,9.51,23.03,7.03,1.29,1.11,0.61,0.06,0.04,0.02,0.02,44.3,0.4942375
2104503,11.88,7.79,25.44,6.19,1.25,1.07,0.64,0.07,0.09,0,0.02,45.57,0.4951125
2104552,9.44,5.99,31.13,11.34,1.94,1.25,0.51,0.13,0.06,0.01,0,38.2,0.6156375
2104602,15.77,8.35,23.25,6.76,1.26,1.09,0.44,0.07,0.05,0.02,0.02,42.92,0.4831125
2104628,13.06,9.06,19.89,6.99,1.1,0.72,0.33,0.02,0,0.02,0.02,48.8,0.4152
2104651,14.71,13.36,21.19,5.28,0.73,0.42,0.15,0.02,0.02,0.01,0.01,44.09,0.3828
2104677,10.24,11.73,21.64,5.8,1.43,0.88,0.57,0.07,0.03,0.02,0.03,47.58,0.4605875
2104701,15.76,8.2,22.39,6.27,1.61,0.81,0.66,0,0,0,0.02,44.28,0.460275
2104800,5.91,7.41,24.6,8.22,1.62,1.37,0.8,0.08,0.12,0.04,0.05,49.77,0.5616625
2104909,24.46,8.13,23.6,4.62,1.09,1.21,0.59,0.04,0.02,0.02,0,36.21,0.4713375
2105005,10.49,7.49,15.62,3.4,0.52,0.44,0.24,0.05,0,0,0,61.75,0.2773125
2105104,13.96,8.88,18.37,3.67,0.62,0.45,0.27,0.01,0.02,0.03,0,53.7,0.327025
2105153,13.87,9.06,22.75,7.28,1.58,1.17,0.35,0.04,0.01,0,0,43.88,0.467775
2105203,13.49,9.56,26.2,7.11,1.21,1.04,0.71,0.08,0.04,0.03,0.03,40.49,0.531325
2105302,3.26,3.37,28.45,14.95,4.16,3.62,2.64,0.4,0.36,0.15,0.14,38.51,1.0977125
2105351,11.19,7.17,17.28,4.44,0.72,0.56,0.28,0.01,0.04,0,0.01,58.32,0.3237125
2105401,8.62,8.34,24.4,5.35,1.24,0.99,0.53,0.03,0.04,0.01,0.02,50.44,0.445675
2105427,8.52,7.12,26.06,9.09,1.76,1.66,0.88,0.06,0.1,0.05,0.03,44.68,0.6027
2105450,16,8.98,19.1,6.26,0.77,0.63,0.3,0.03,0,0.02,0.03,47.89,0.395525
2105476,8.04,5.11,17.04,3.97,0.49,0.42,0.17,0.03,0.02,0.01,0.01,64.7,0.2811625
2105500,5.63,5.39,30.46,9.14,1.87,1.21,0.81,0.07,0.05,0.01,0.04,45.34,0.5877375
2105609,12.47,8.54,22.05,6.42,1.3,0.84,0.47,0.07,0.02,0.02,0.01,47.79,0.446475
2105658,11.01,8.52,25.16,7.19,1.34,0.83,0.6,0.03,0.06,0,0,45.26,0.481975
2105708,10.48,9.7,26.2,6.97,1.27,0.95,0.62,0.08,0.08,0.01,0.03,43.61,0.515375
2105807,13.51,8.71,20.12,4.49,0.84,0.54,0.29,0.04,0.02,0.02,0.04,51.37,0.3745375
