"city_code","covid.aidpercapita_people_CU","covid.aidpercapita_people_appCaixa","covid.aidpercapita_people_lawsuit","covid.aidpercapita_people_BolsaFamilia","covid.aidpercapita_people","covid.aidpercapita_value_CU","covid.aidpercapita_value_appCaixa","covid.aidpercapita_value_lawsuit","covid.aidpercapita_value_BolsaFamilia","covid.aidpercapita_value"
1100015,0.0851372756071806,0.216913058782119,0.000131995776135164,0.102252727912707,0.404435058078142,1334.23970432946,699.947201689546,0.395987328405491,375.422386483633,2410.00527983105
1100023,0.0611834957040987,0.228079946677867,0.000200871049916456,0.0459446874172548,0.335409000849137,1143.38175543037,750.751896861846,0.766962190590104,192.797859810268,2087.69847429307
1100031,0.0797995373939861,0.232845026985351,0,0.0518504240555127,0.36449498843485,1208.32690824981,763.068619892059,0,194.410177332305,2165.80570547417
1100049,0.0691790949204242,0.216734774661497,0.000116423922787654,0.0494568824001956,0.335487175904905,1102.25978834131,692.291572072229,0.38419894519926,191.617477559289,1986.55303691803
1100056,0.0929400148111577,0.213959516168847,0.000246852628980499,0.0606640335719575,0.367810417180943,1232.06615650457,697.124166872377,0.740557886941496,248.049864231054,2177.98074549494
1100064,0.0779078744209985,0.237905301080803,6.43335048893464e-05,0.0353190941842512,0.351196603190942,1140.98044261451,768.335048893464,0.193000514668039,131.201749871333,2040.71024189398
1100072,0.0828254847645429,0.192520775623269,0,0.0832409972299169,0.358587257617729,1208.80886426593,652.437673130194,0,305.318559556787,2166.56509695291
1100080,0.047239067985956,0.0977231620385147,0,0.138259389296734,0.283221619321204,963.102457708267,312.033195020747,0,509.703159910629,1784.83881263964
1100098,0.0577764184126013,0.202477443034103,0.000152928582352042,0.0704389050313504,0.330845695060407,1097.37880409849,656.283835448845,0.55054289646735,261.673038690931,2015.88622113473
1100106,0.0723429847925079,0.167153535527107,0.0001933155769396,0.111972678065126,0.351662513961681,1192.64112037117,550.536987713721,0.579946730818799,417.175015035656,2160.93306985136
1100114,0.0700891127469973,0.233611003487021,0.000213095699341341,0.0549980627663696,0.358911274699729,1201.65052305308,751.592406044169,0.697404106935296,223.982952344053,2177.92328554824
1100122,0.0733103092862802,0.234806821066234,0.000323054557761386,0.0247213654439308,0.333161550354206,1105.89882238922,764.097870147451,1.10761562661047,100.959164365544,1972.06347252882
1100130,0.0748525705336824,0.174908850661903,0.000146817725793427,0.068368120977806,0.318276359899185,1059.86248073017,566.422786111043,0.440453177380282,256.593339369173,1883.31905938777
1100148,0.0825808970667187,0.124652252428132,4.88066767533799e-05,0.109766216018351,0.317048172189956,1028.54214456538,392.932793206111,0.14642003026014,385.904631753624,1807.52598955537
1100155,0.0942720429806643,0.232336234155077,0.000111928813274757,0.0450513473430898,0.371771553292106,1225.70445196855,758.810196714889,0.335786439824272,171.670817360159,2156.52125248342
1100189,0.0505680431658578,0.219543938613378,0.00046094194842873,0.0306390824543803,0.301212006182045,1011.2198693094,725.381632819067,1.70819663241235,123.201648545321,1861.5113473062
1100205,0.0642101476952057,0.222173192374581,0.000422727930079317,0.0639320372148904,0.350738105214757,1209.85067321277,723.47104128272,1.42392565921454,274.815427344564,2209.56106749927
1100254,0.118141187873566,0.173065532281514,0.000161542189435141,0.127941414032632,0.419309676377147,1389.87668946206,547.434171557805,0.484626568305422,481.686500457703,2419.48198804588
1100262,0.0615141955835962,0.192691903259727,0,0.073080967402734,0.327287066246057,1123.81703470032,640.694006309148,0,276.182965299685,2040.69400630915
1100288,0.0761817098922519,0.222896023968091,0.000198530871550526,0.0348331438265923,0.334109408558485,1108.40868482322,726.861226920786,0.649737397801722,139.67188261411,1975.59153175592
1100296,0.097972972972973,0.234234234234234,0,0.0999034749034749,0.432110682110682,1418.91891891892,737.065637065637,0,384.459459459459,2540.44401544402
1100304,0.0654528377571886,0.191094891939224,0.000146755241608046,0.0333721419416697,0.29006662687969,983.236637935252,628.100693663109,0.557669918110575,145.487276320553,1757.38227783702
1100320,0.0819863933786887,0.20782597391342,4.33331888893704e-05,0.0547298175672748,0.344585518048273,1128.13623954587,680.781730727564,0.129999566668111,193.075356415479,2002.12332625558
1100338,0.0728529561671764,0.186416921508665,3.1855249745158e-05,0.0718017329255861,0.331103465851172,1109.78593272171,621.12003058104,0.191131498470948,258.199541284404,1989.29663608563
1100346,0.0988231958032043,0.161491563873529,0.000212675457252233,0.12987381256203,0.390401247696016,1310.71884304551,509.783071033603,0.638026371756699,498.638877073586,2319.77881752446
1100379,0.0525839305922293,0.173066767257639,0.0001508864579404,0.0929460580912863,0.318747642399095,1053.4288947567,570.033949453037,0.4526593738212,324.918898528857,1948.83440211241
1100403,0.0764407012404449,0.155124273355609,0,0.0763491554904564,0.307914130086511,1022.17238064723,504.041744861995,0,281.530644939809,1807.74477044903
1100452,0.0635345425711171,0.209287342650411,0.000123897313906235,0.0772128060263653,0.3501585885618,1152.1409455843,681.103181683021,0.446030330062444,274.873624739816,2108.5637823372
1100502,0.103373754352263,0.139632608956657,0.000120062432464882,0.124504742466082,0.367631168207468,1187.53751951015,447.28058590467,0.360187297394645,426.749909953176,2061.92820266539
1100601,0.0866166852767587,0.136704418567555,0.000159515074174509,0.0625299090764077,0.286010527994896,917.849736800128,437.103206252991,0.478545222523528,220.705056627851,1576.13654490349
1100700,0.0778774709098556,0.135286695639983,7.00967334922193e-05,0.0646291882798262,0.277863451563157,895.625963830086,437.613907191925,0.210290200476658,220.173839899061,1553.62400112155
