"city_code","employment.agri.pct","employment.indExtractive.pct","employment.indTransform.pct","employment.power.pct","employment.waterSewage.pct","employment.building.pct","employment.trade.pct","employment.transport.pct","employment.foodLodging.pct","employment.communication.pct","employment.finance.pct","employment.realState.pct","employment.professional.pct","employment.admin.pct","employment.public.pct","employment.education.pct","employment.health.pct","employment.artsSports.pct","employment.otherServices.pct","employment.home.pct","employment.international.pct"
3120607,0.0558912386706949,0,0.110271903323263,0,0,0.013595166163142,0.181268882175227,0.00302114803625378,0.00453172205438067,0,0.0120845921450151,0,0.00302114803625378,0.00302114803625378,0.400302114803625,0.00453172205438067,0.0211480362537764,0,0.187311178247734,0,0
3120706,0.305865921787709,0,0.0614525139664804,0,0,0.00977653631284916,0.189944134078212,0.0139664804469274,0.00139664804469274,0,0.00698324022346369,0,0.00279329608938547,0.0195530726256983,0.372905027932961,0,0.00558659217877095,0,0.00977653631284916,0,0
3120805,0.108885651857247,0,0.327021121631464,0,0,0.0105608157319738,0.218135469774217,0.0142024763292061,0.0189366351056082,0.00291332847778587,0.0123816460305899,0,0.0105608157319738,0.00546249089584851,0.18463219227968,0.00801165331391114,0.0506190823015295,0.00619082301529497,0.0214857975236708,0,0
3120839,0.0787172011661808,0,0.0349854227405248,0,0,0,0.285714285714286,0.00583090379008746,0,0,0.0116618075801749,0,0.0087463556851312,0,0.551020408163265,0,0.0116618075801749,0,0.0116618075801749,0,0
3120870,0.258517034068136,0.0961923847695391,0.00400801603206413,0,0,0,0.0681362725450902,0.00400801603206413,0,0,0,0,0,0.0180360721442886,0.541082164328657,0.00601202404809619,0,0,0.00400801603206413,0,0
3120904,0.132955844721511,0.00898350302172374,0.191430282572004,0,5.44454728589318e-05,0.031959492568193,0.230522132084717,0.0365329122883432,0.0512876354331137,0.010344639843197,0.015190286927642,0.00185114607720368,0.0194914792834976,0.0450808515271955,0.108836500245005,0.0277127456851963,0.0585833287962106,0.00675123863450754,0.0221593074535852,0.000272227364294659,0
3121001,0.258706467661692,0.00165837479270315,0.0613598673300166,0,0,0,0.132669983416252,0.0066334991708126,0.021558872305141,0,0.0033167495854063,0.00165837479270315,0,0.00497512437810945,0.497512437810945,0,0.00165837479270315,0,0.00829187396351575,0,0
3121100,0.191415313225058,0.00464037122969838,0.179814385150812,0,0,0.00812064965197216,0.126450116009281,0.00232018561484919,0.0406032482598608,0,0.00232018561484919,0,0,0.00928074245939675,0.321345707656613,0.105568445475638,0.00464037122969838,0,0.00348027842227378,0,0
3121209,0.607260726072607,0,0.0121012101210121,0,0.00055005500550055,0.0022002200220022,0.0902090209020902,0.0099009900990099,0.0203520352035204,0,0.00715071507150715,0.0033003300330033,0.00605060506050605,0.00385038503850385,0.215071507150715,0.0137513751375138,0.0055005500550055,0,0.00165016501650165,0.0011001100110011,0
3121258,0.0459531574266232,0.00118588793359028,0.61221464571598,0,0,0.0142306552030833,0.107619329973318,0.0403201897420694,0.0106729914023125,0,0.00266824785057812,0,0.000889415950192707,0.0085976875185295,0.152090127482953,0.000592943966795138,0,0.00118588793359028,0.00177883190038541,0,0
3121308,0.0942350332594235,0,0.529933481152993,0,0,0,0.0864745011086474,0.00221729490022173,0.00332594235033259,0,0.00554323725055432,0,0.00332594235033259,0.00221729490022173,0.261640798226164,0.00332594235033259,0.00776053215077605,0,0,0,0
3121407,0.0207373271889401,0.304147465437788,0.0483870967741935,0,0,0,0.18778801843318,0.0460829493087558,0.0264976958525346,0.00691244239631336,0.0126728110599078,0,0.00230414746543779,0.00345622119815668,0.284562211981567,0,0.0380184331797235,0.00691244239631336,0.0115207373271889,0,0
3121506,0.134831460674157,0,0.0224719101123595,0,0,0,0.168539325842697,0.0168539325842697,0.00561797752808989,0,0,0,0.00561797752808989,0.00280898876404494,0.615168539325843,0,0.0196629213483146,0,0.00842696629213483,0,0
3121605,0.0281478298238075,0.0205199828104856,0.013859045981951,0,0.000214868929952729,0.021809196390202,0.253115599484315,0.0131070047271165,0.0617748173614095,0.0118177911474001,0.0132144391920928,0.00547915771379459,0.0177266867211001,0.0128921357971637,0.17522561237645,0.198861194671251,0.121938117748174,0.0107434464976364,0.0195530726256983,0,0
3121704,0.062780269058296,0,0,0,0,0.00896860986547085,0.125560538116592,0.00448430493273543,0.00896860986547085,0,0,0,0.00448430493273543,0,0.753363228699552,0.00448430493273543,0.00448430493273543,0,0.0224215246636771,0,0
3121803,0.0739827373612824,0,0.0579531442663379,0,0,0.0419235511713933,0.154130702836005,0.00739827373612824,0.0123304562268804,0.00123304562268804,0.0061652281134402,0,0.00123304562268804,0.123304562268804,0.467324290998767,0.00493218249075216,0.0419235511713933,0,0.0061652281134402,0,0
3121902,0.0570409982174688,0.0035650623885918,0.226381461675579,0,0,0.0570409982174688,0.101604278074866,0.0213903743315508,0.0196078431372549,0.0124777183600713,0,0,0.0053475935828877,0.0035650623885918,0.445632798573975,0.035650623885918,0.0017825311942959,0,0.0089126559714795,0,0
3122009,0.0221556886227545,0.00119760479041916,0.0377245508982036,0,0.0125748502994012,0.0107784431137725,0.321556886227545,0.0688622754491018,0.0275449101796407,0.0167664670658683,0.0227544910179641,0,0.0101796407185629,0.018562874251497,0.325149700598802,0.0179640718562874,0.055688622754491,0.0029940119760479,0.0275449101796407,0,0
3122108,0.0794701986754967,0.011037527593819,0.00441501103752759,0,0,0.033112582781457,0.1280353200883,0.00662251655629139,0.00662251655629139,0.00883002207505519,0.011037527593819,0,0,0.0022075055187638,0.688741721854305,0.00662251655629139,0.0022075055187638,0,0.011037527593819,0,0
3122207,0.0793650793650794,0.0291005291005291,0.0238095238095238,0,0.0132275132275132,0,0.346560846560847,0.0343915343915344,0.00793650793650794,0,0.0105820105820106,0,0.0158730158730159,0.00264550264550265,0.404761904761905,0.0105820105820106,0.0105820105820106,0,0.0105820105820106,0,0
3122306,0.0116367534668188,0.000881834215167548,0.216792889995504,0.000103745201784417,0.00155617802676626,0.0449216723726528,0.265224608361863,0.0527717259743404,0.0353425320745582,0.01691046789086,0.0259708821800325,0.0085243974132863,0.0245184493550507,0.0700625929384099,0.0716360618321403,0.0324203755576305,0.090465815956012,0.00717570979008888,0.0229968530622125,8.64543348203479e-05,0
