"city_code","vac.dose1percapita_Coronavac","vac.dose1percapita_Covishield.AZ","vac.dose1percapita_Unknown","vac.dose2percapita_Coronavac","vac.dose2percapita_Covishield.AZ","vac.dose2percapita_Unknown","vac.dose1percapita_total","vac.dose2percapita_total"
1100015,0.0962689193945794,0.0252111932418163,0.0077437521999296,0.0481344596972897,0,0,0.129223864836325,0.0481344596972897
1100023,0.0586817380824119,0.00500351524337354,0.00241045259899747,0.0139057549555801,3.65220090757193e-05,0,0.0660957059247829,0.0139422769646558
1100031,0.148804934464148,0.0262143407864302,0.00636083269082498,0.0620663068619892,0,0,0.181380107941403,0.0620663068619892
1100049,0.139766919306579,0.0141222218341425,0.00331808179944815,0.0441479515210786,6.98543536725926e-05,0,0.15720722294017,0.0442178058747511
1100056,0.0875709701308319,0.0140705998518884,0.00351764996297211,0.0353616391014564,0,0,0.105159219945692,0.0353616391014564
1100064,0,0,0,0,0,0,0,0
1100072,0.0879501385041551,0.00900277008310249,0.00457063711911357,0.0292243767313019,0,0,0.101523545706371,0.0292243767313019
1100080,0.0439940419193531,0.0157463559953187,0.00973507819980849,0.00925630386211299,0.000106394297265667,0,0.0694754761144803,0.00936269815937866
1100098,0.0855788346842025,0.0102768007340572,0.00272212876586634,0.0246520874751491,9.1757149411225e-05,0,0.098577764184126,0.0247438446245603
1100106,0.0875934358621875,0.0268923447031532,0,0.0506057221410774,0.000107397542744222,0,0.114485780565341,0.0507131196838216
1100114,0.0707090275087175,0.00592793490895002,0.000174351026733824,0.0220263463773731,7.74893452150329e-05,0,0.0768113134444014,0.0221038357225881
1100122,0.025013652900953,0.0078456106884908,0,0.012114545916052,1.53835503695898e-05,0,0.0328592635894438,0.0121299294664216
1100130,0.0426750189639563,0.00445347101573397,0.0023001443707637,0.0160031321114836,2.44696209655712e-05,0,0.0494286343504539,0.0160276017324492
1100148,0.026599638830592,0.00492947435209137,0,0.0159109766216018,0,0,0.0315291131826834,0.0159109766216018
1100155,0,0,0,0,0,0,0,0
1100189,0.0747539383422358,0.00715815731677558,0.0021962528131016,0.0286055150348418,0,0,0.084108348472113,0.0286055150348418
1100205,0.0724514882618837,0.0154369857273702,0.00017428256766428,0.0234261727918955,0.000200239545827045,0,0.0880627565569181,0.0236264123377225
1100254,0.073070917021162,0.00963868396963007,0.00425394432179204,0.0313930321468957,0,0,0.0869635453125841,0.0313930321468957
1100262,0.106203995793901,0.0113038906414301,0.00578338590956887,0.0304942166140904,0,0,0.1232912723449,0.0304942166140904
1100288,0,0,0,0,0,0,0,0
1100296,0.125,0.0117438867438867,0.00514800514800515,0.0387709137709138,0,0,0.141891891891892,0.0387709137709138
1100304,0.0752365205310583,0.00840418350275411,0.00107620510512567,0.027863928539981,9.78368277386974e-06,0,0.0847169091389381,0.0278737122227549
1100320,0,0,0,0,0,0,0,0
1100338,0.0590914882772681,0.00914245667686035,0.00226172273190622,0.0201325178389399,6.3710499490316e-05,0,0.0704956676860347,0.0201962283384302
1100346,0.114986530554374,0.00900326102367787,0.00290656458244719,0.0275769176237062,0,0,0.126896356160499,0.0275769176237062
1100379,0,0,0,0,0,0,0,0
1100403,0.0571703208678537,0.00425687737446789,0,0.0178971941227629,0,0,0.0614271982423216,0.0178971941227629
1100452,0.0714887501238973,0.00629398354643671,0.00247794627812469,0.0187084943998414,0.000123897313906235,0,0.0802606799484587,0.0188323917137476
1100502,0,0,0,0,0,0,0,0
1100601,0.0800765672356038,0.00462593715106078,0.0051044823735843,0.0288722284255862,0,0,0.0898069867602488,0.0288722284255862
1100700,0,0,0,0,0,0,0,0
1100809,0,0,0,0,0,0,0,0
1100908,0.134248409775695,0.0137261466354202,0.00736524941412789,0.0545698024774021,0,0,0.155339805825243,0.0545698024774021
1100924,0.0388772663877266,0.00880404463040446,0,0.00941422594142259,0,0,0.0476813110181311,0.00941422594142259
1100940,0.0330748959248367,0.00278806859412596,0.000763854409349578,0.0217316579459955,3.81927204674789e-05,0,0.0366268189283123,0.021769850666463
1101005,0.0722632639355272,0.0147750167897918,0.00241773002014775,0.0333109469442579,0,0,0.0894560107454668,0.0333109469442579
1101104,0,0,0,0,0,0,0,0
1101203,0.0817031070195627,0.00774139554346689,0.0046029919447641,0.0347316664923109,0,0,0.0940474945077937,0.0347316664923109
1101302,0,0,0,0,0,0,0,0
1101401,0.0797775973011807,0.00506028612482039,0.00368588742425189,0.0260511026425939,0,0,0.088523770850253,0.0260511026425939
1101435,0.118926758520667,0.00957215373459028,0,0.017258883248731,0,0,0.128498912255257,0.017258883248731
1101450,0.0666343981929655,0,0,0.0196837689577283,0,0,0.0666343981929655,0.0196837689577283
1101468,0,0,0,0,0,0,0,0
1101476,0,0,0,0,0,0,0,0
1101484,0.120213185945519,0.0130280300039479,0.00631662060797473,0.0540860639557837,0,0,0.139557836557442,0.0540860639557837
1101492,0,0,0,0,0,0,0,0
1101500,0.0364526200320648,0.00219390768711501,0,0.0165386887182516,0,0,0.0386465277191798,0.0165386887182516
1101559,0.0328372312780534,0.00543349870068509,0,0.0266950153555398,0,0,0.0382707299787385,0.0266950153555398
1101609,0.0849446849446849,0.00394420394420394,0.000962000962000962,0.0280904280904281,0,0,0.0898508898508898,0.0280904280904281
1101708,0.126951738821859,0.0155251951738822,0.00470191625266146,0.0322924059616749,0.00204045422285309,0,0.147178850248403,0.034332860184528
1101757,0,0,0,0,0,0,0,0
1101807,0,0,0,0,0,0,0,0
1200013,0.0368624919302776,0.0373143963847644,0.00710135571336346,0.0169786959328599,0,0,0.0812782440284054,0.0169786959328599
1200054,0,0.0212370586673746,0.00477833820015928,0,0.000132731616671091,0,0.0260153968675338,0.000132731616671091
1200104,0.0667365740393978,0.0190622425286495,0.00647891543704591,0.021047112575837,0,0,0.0922777320050932,0.021047112575837
1200138,0.0387715930902111,0.0615163147792706,0.00767754318618042,0.0140115163147793,0,0,0.107965451055662,0.0140115163147793
1200179,0.0650399733510993,0.0187375083277815,0,0.0122418387741506,0,0,0.0837774816788807,0.0122418387741506
1200203,0,0,0,0,0,0,0,0
1200252,0.0530059905862217,0.0174368848951647,0.00588361146769362,0.0114997860504921,0.00229995721009842,0,0.07632648694908,0.0137997432605905
1200302,0.0477582846003899,0.042999656002752,0.00326797385620915,0.0288097695218438,0.00014333218667584,0,0.094025914459351,0.0289531017085197
1200328,0.130296235099729,0.00354065856249262,0,0.0586569101852945,0,0,0.133836893662221,0.0586569101852945
1200336,0.0799026461602196,0.0561855937030708,0,0.0623478846253431,0.00295168556781109,0,0.13608823986329,0.0652995701931542
1200344,0.061371464356539,0.0430017743450579,0.00427930278676547,0.0325644504748982,0.000104373238701597,0,0.108652541488362,0.0326688237135998
1200351,0.0881910979843515,0.00911964350484481,0,0.029379760609358,0,0,0.0973107414891963,0.029379760609358
1200385,0,0,0,0,0,0,0,0
1200393,0.0896168613675353,0.0102115840209133,0.00163385344334613,0.0247528796666939,0,0,0.101462298831795,0.0247528796666939
1200401,0.0526005157008161,0.0477555403973702,0,0.023912843659444,3.14451717148262e-05,0,0.100356056098186,0.0239442888311588
1200427,0.0411865019895613,0.0110588600072348,0,0.00981861402511498,5.16769159216578e-05,0,0.052245361996796,0.00987029094103664
1200435,0,0,0,0,0,0,0,0
1200450,0.0475985539679807,0.0432948872439318,0,0.0143312101910828,0.000129110001721467,0,0.0908934412119125,0.0144603201928043
1200500,0.0360344864655673,0.0414955601900626,0,0.0139106877942852,6.45008707617553e-05,0,0.0775300466556298,0.013975188665047
1200609,0.039048921230099,0.0282032861347362,0,0.0186554193413826,0,0,0.0672522073648351,0.0186554193413826
1200708,0.0533782404572362,0.0184221269646867,0,0.0139824453970198,0.000102061645233721,0,0.0718003674219228,0.0140845070422535
1200807,0.0446770080747981,0.0746918827029324,0,0.0165745856353591,0.000106247343816405,0,0.119368890777731,0.0166808329791755
1300029,0.0643649815043157,0.0327990135635019,0,0.0557336621454994,6.1652281134402e-05,0,0.0971639950678175,0.0557953144266338
1300060,0.127556237218814,0,0,0.0346796182685753,0,0,0.127556237218814,0.0346796182685753
1300086,0.0401261106334193,0.0568214388076813,0.00766695328174262,0.0336772714244769,0.000214961306964746,0,0.104614502722843,0.0338922327314417
1300102,0.0160636960469339,0.0443730502397914,0,0.0125715882106439,4.65614378171998e-05,0,0.0604367462867253,0.0126181496484611
