"city_code","cases","deaths","cases_per100K","deaths_per100K"
1100015,2577,36,11338.4371700106,158.394931362196
1100023,14166,255,12934.269514166,232.82780785771
1100031,490,10,9444.87278334618,192.752505782575
1100049,8352,125,9723.7260312249,145.529903484568
1100056,1160,17,7158.72624043446,104.912367316712
1100064,1041,11,6697.11785898096,70.766855378281
1100072,443,8,6135.73407202216,110.803324099723
1100080,782,13,4160.01702308756,69.1562932226833
1100098,1722,26,5266.86037620431,79.5228628230616
1100106,4858,150,10434.7452530286,322.192628232666
1100114,4873,67,9440.13948082139,129.79465323518
1100122,11280,294,8676.32240844865,226.13819043297
1100130,3941,38,9643.47762253163,92.9845596691707
1100148,1194,11,5827.51720435356,53.6873444287178
1100155,2705,66,7569.18599770546,184.682541903349
1100189,3279,40,8890.75675822239,108.456929042054
1100205,60775,1548,11268.1096274432,287.010015685431
1100254,1887,27,10161.0037154704,145.387970491627
1100262,434,3,11409.0431125131,78.8643533123028
1100288,4614,76,8327.46764849207,137.166783980363
1100296,634,7,10199.4851994852,112.612612612613
1100304,9239,149,9039.14451477825,145.776873330659
1100320,1541,25,6677.64440785197,108.332972223426
1100338,2462,43,7842.7624872579,136.977573904179
1100346,630,14,4466.18460229689,99.2485467177088
1100379,670,17,5054.69634100339,128.25348924934
1100403,1096,19,5016.70709937291,86.9684624891289
1100452,3686,38,9133.70998116761,94.1619585687382
1100502,323,10,3878.01656861568,120.062432464882
1100601,457,7,7289.83888977508,111.660551922157
1100700,774,14,5425.48717229777,98.135426889107
1100809,2812,55,10267.270337374,200.817876442237
1100908,175,4,5858.72112487446,133.913625711416
1100924,1121,14,9771.61785216178,122.036262203626
1100940,1076,21,4109.53672230073,80.2047129817057
1101005,301,3,4042.98186702485,40.2955003357958
1101104,1037,14,9745.32468752937,131.56658208815
1101203,365,10,3818.3910450884,104.613453290093
1101302,623,4,5758.92031798854,36.9754113514513
1101401,975,17,6091.08515024677,106.203535953021
1101435,619,8,8977.51994198695,116.026105873822
1101450,168,5,2710.55179090029,80.6711842529848
1101468,305,7,14199.2551210428,325.884543761639
1101476,115,3,4142.65129682997,108.06916426513
1101484,253,5,4994.07816818002,98.6971969996052
1101492,1314,24,6353.65794690779,116.048546975485
1101500,862,7,7273.64779343515,59.0667454223272
1101559,342,2,8079.37632884479,47.247814788566
1101609,344,8,3309.28330928331,76.960076960077
1101708,842,14,7469.83676366217,124.201561391057
1101757,642,6,5642.96387448361,52.7379801353608
1101807,555,20,8338.34134615385,300.480769230769
1200013,1059,19,6836.66881859264,122.659780503551
1200054,1237,15,16418.900982214,199.097425006637
1200104,1958,27,7332.78406111902,101.116021271815
1200138,835,9,8013.43570057582,86.3723608445298
1200179,387,11,3222.85143237841,91.6055962691539
1200203,6401,125,7186.32117837255,140.335908029459
1200252,1053,23,5632.22079589217,123.020967051776
1200302,2149,35,6160.4173833276,100.332530673088
1200328,316,1,3729.49368582556,11.8021952083087
1200336,1768,19,9155.40365594739,98.3895189270364
1200344,676,4,7055.63093622795,41.7492954806388
1200351,944,8,4891.44515259858,41.4529250220219
1200385,1216,12,6093.71084941117,60.1353044349787
1200393,408,2,3333.06102442611,16.3385344334613
1200401,29035,694,7023.15815953829,167.868839769918
1200427,534,8,2759.54731021653,41.3415327373262
1200435,488,4,7265.14813160637,59.5503945213637
1200450,907,22,3903.42571871234,94.6806679290756
1200500,4097,35,8808.66891703038,75.2510158887145
1200609,4370,20,10127.2276424648,46.3488679289008
1200708,2576,20,13145.5399061033,102.061645233721
1200807,964,27,5121.1219719507,143.433914152146
1300029,2461,35,15172.6263871763,215.782983970407
1300060,1832,15,15610.0886162236,127.811860940695
1300086,1522,4,10905.7036400115,28.6615075952995
1300102,1784,29,8306.56050658844,135.028169669879
1300144,935,19,4181.7612594481,84.9769667695335
1300201,2442,7,11971.7619374448,34.3170899107756
1300300,2517,80,6247.20774385704,198.560436832961
1300409,3973,52,14375.1356827556,188.146754468485
1300508,2135,54,6572.66878059293,166.240802881507
1300607,2464,66,5608.28496642768,150.221918743599
1300631,1937,31,9640.1731946449,154.282585975215
1300680,812,11,4137.36879649445,56.0480994599001
1300706,2312,21,6675.32842500361,60.6323083585968
1300805,1494,44,3578.61454440931,105.39427038421
1300839,540,20,4065.34668373109,150.568395693744
1300904,1037,8,6560.38463971658,50.6104890238502
1301001,5738,41,20127.6834572752,143.819278798934
1301100,4104,76,10701.9922812141,198.185042244706
1301159,839,13,2719.96369059197,42.1448486027362
1301209,9134,191,10632.0568036317,222.325689675242
1301308,1493,18,5118.62314865606,61.7114646187603
1301407,3654,21,10235.2941176471,58.8235294117647
1301506,1474,2,7227.97038199382,9.80728681410288
1301605,1316,29,7738.90032343428,170.538077036166
1301654,1322,21,7805.39646926846,123.98890004133
1301704,6719,122,11967.4408663437,217.298375605586
1301803,4003,17,13152.1881981864,55.8549086607964
1301852,7990,130,16302.4627124523,265.246577298974
1301902,6786,272,6607.53059853361,264.846496139278
1301951,723,9,9252.62349628871,115.177885845918
1302009,2800,26,30335.8613217768,281.69014084507
1302108,772,7,34295.8685028876,310.972900932919
1302207,859,13,5686.48219250629,86.0585197934596
1302306,1374,32,9894.85813049114,230.447933170099
1302405,5391,66,11499.0828036347,140.7789770061
1302504,7340,289,7451.62534770868,293.395057968366
1302553,1347,40,4075.76628642319,121.032406426821
1302603,153971,8231,6936.94302525703,370.835923913533
1302702,2931,63,5180.00106038916,111.340862096389
1302801,1819,12,9961.11932533815,65.7138163298834
1302900,3500,86,5381.30381303813,132.226322263223
