"city_code","bolsa.familia_familiesPer100Khab","bolsa.familia_valuePerHab"
1100015,6140.77140989322,9.57550664632818
1100023,3099.30189221513,4.56093377710614
1100031,2993.22289156626,4.42074548192771
1100049,2788.22385454375,4.48566642064691
1100056,3755.43711327575,5.78907063652515
1100064,1964.48809973555,2.92475758720564
1100072,5073.73833040184,7.46759572452983
1100080,8722.92837270198,15.644100158202
1100098,4027.92364242911,6.66198183727683
1100106,6215.6191796249,11.7346775241478
1100114,3613.71318203766,4.450236600676
1100122,1518.96967488311,2.10326512572789
1100130,4145.93283488785,5.46510464854592
1100148,6163.91520953404,8.53062420631044
1100155,2314.41653947551,3.26252254752324
1100189,2048.55428259684,3.23396072013093
1100205,4261.02457963833,6.9513203813092
1100254,8069.1035499842,12.765932792584
1100262,3772.58235919235,6.59245483528162
1100288,2264.88430382506,2.93392422536234
1100296,5727.48267898383,8.57351809083911
1100304,2602.80008812867,4.09173393154005
1100320,3073.24494675071,4.24377309280591
1100338,3760.25896740019,5.99094268057418
1100346,8097.98070918049,11.0233849143016
1100379,5173.32527754701,8.64692999018201
1100403,4452.11872316595,6.25098002613403
1100452,4536.74282544006,6.90538155041106
1100502,6840.00936987585,8.00304520965097
1100601,3258.42696629213,3.9422150882825
1100700,3649.4801612561,5.23247754438079
1100809,10171.20593414,17.2584572734425
1100908,5766.71035386632,9.42038007863696
1100924,3693.4358790914,7.7544267572885
1100940,4080.90422367638,5.79881023200476
1101005,9527.48809063989,14.0608986738767
1101104,5010.51826353031,7.69554408108625
1101203,4192.54658385093,6.10393374741201
1101302,6275.69197040285,9.83602813556225
1101401,3362.35175372193,4.94940701488771
1101435,4591.10473457676,6.0532281205165
1101450,3704.3134672374,5.43743826144221
1101468,7330.56708160443,13.8732134624251
1101476,5287.11484593837,8.28606442577031
1101484,2300.85073472544,2.96481051817479
1101492,4248.49501628343,5.87382808645021
1101500,6621.12010796221,9.26012145748988
1101559,5106.77808727948,8.25
1101609,4433.16736882421,6.22012638835695
1101708,6331.21130199703,9.83491758960495
1101757,5221.34951802927,8.96001428061407
1101807,6739.92673992674,11.7561904761905
1200013,10546.670162559,20.0474567383325
1200054,19091.2767965485,60.2189564513954
1200104,11895.8824872517,23.6839181064008
1200138,13588.5447106955,30.3674264562634
1200179,12741.8392567971,28.6570357112418
1200203,11841.4501674663,38.0903525844121
1200252,9559.50247134865,19.6830699038618
1200302,13556.6417481311,40.9298734905118
1200328,15883.1309366358,60.0773115306
1200336,16973.1780576487,57.1489698055541
1200344,18469.1827888783,62.1133312189449
1200351,14665.8186251126,45.3094291620289
1200385,7610.95086281059,13.5202165882293
1200393,12618.9283925889,41.2872642296779
1200401,5454.44725141719,12.5860394432865
1200427,12831.4844162705,39.1101954569466
1200435,17186.5443425076,66.6607033639144
1200450,18315.6706045865,45.5942494788047
1200500,15093.3519455592,43.4419167684523
1200609,17344.4217351469,60.0021378062819
1200708,10231.3305387362,20.5086684262278
1200807,14413.0998702983,31.6907155209684
1300029,14313.3221120878,39.8882239261891
1300060,13150.1386962552,27.6719833564494
1300086,14352.8720434846,44.1696048185691
1300102,13926.7015706806,36.1288910042837
1300144,5911.80084649342,11.8495881308879
1300201,9552.73329652126,34.8736007228553
1300300,18867.6860861873,53.1620624289144
1300409,8650.27997963784,17.0542869609483
1300508,16881.4955837833,53.6276645547892
1300607,12346.4544946957,37.5794481667597
1300631,24101.8344428071,69.2711519894304
1300680,11995.6265944708,34.8353725204353
1300706,13885.9741168241,31.7056954646147
1300805,11928.7675226549,36.2910036199315
1300839,15472.8231786561,33.1977677547588
1300904,15855.1410838825,48.7102821677651
1301001,20799.462783629,64.5952498762989
1301100,13625.9209379704,26.5018616810584
1301159,12684.8635235732,36.7308188585608
1301209,11241.2893521511,26.8836269198679
1301308,11432.7618116423,26.7694940112442
1301407,14971.7914552207,49.1702718793411
1301506,14166.6250686367,50.6865172465432
1301605,19830.7683570901,47.0434436935658
1301654,15541.4318263581,54.739956829356
1301704,12908.4967320261,31.754302832244
1301803,12698.3057698137,35.800229041059
1301852,23817.707470598,43.5333775053835
1301902,10865.7252533625,25.3055843374088
1301951,20787.1608712266,65.2631511909311
1302009,17643.2006996065,37.9491692173153
1302108,33067.1506352087,106.246460980036
1302207,10902.6644915715,34.1105899945623
1302306,22832.9957393309,78.3597122302158
1302405,17454.2534025049,54.2025440100718
1302504,17977.5511671134,41.3531429392978
1302553,9045.32004360691,20.8133624046099
1302603,5347.85498929568,8.68603462675517
1302702,9723.59240193001,20.9527900844828
1302801,15616.769095698,59.0295763827919
1302900,14516.8609654957,43.0263829121352
