"city_code","pop.density2010","pop.urbanDensity"
1507755,3.89,2956.39807228916
1507805,0.91,2599.11032343819
1507904,6.54,2350.64811440678
1507953,17.9,4710.4507857517
1507961,49.72,2300.82116609505
1507979,8.94,4290.48630675724
1508001,10.98,2127.3107358871
1508035,29.33,2396.92197599261
1508050,1.41,1781.40105386417
1508084,13.41,2474.90860465116
1508100,46.56,3899.64414800092
1508126,8.52,3717.83983646084
1508159,4.15,2400.58023152271
1508209,88.84,3887.16874297279
1508308,11.54,2940.46317728319
1508357,4.28,3512.68448008277
1508407,10.74,2050.25743709916
1600055,0.56,2592.00910714286
1600105,0.88,3049.88219852338
1600154,1.13,3230.60358781811
1600204,0.63,2802.76484375
1600212,2.22,3743.86151797603
1600238,1.15,2481.5308931186
1600253,2.5,2792.21358024691
1600279,1.29,4496.3399668325
1600303,62.14,3407.31677372525
1600402,1.3,1942.70073574494
1600501,0.91,2181.7641059779
1600535,3.82,2446.26054158607
1600550,0.77,2094.05675675676
1600600,64.11,4476.64567981741
1600709,1.87,2676.54830393487
1600808,5.01,6534.75279912184
1700251,1.26,1321.52166947723
1700301,21.93,1341.47841218053
1700350,3.59,1058.04940355616
1700400,1.89,1275.24313342025
1700707,6.91,1565.86207715134
1701002,6.26,2406.60864416815
1701051,7.03,1482.77613227894
1701101,3.63,1448.58205025927
1701309,5.01,2256.2749244713
1701903,2.27,784.584938271605
1702000,1.7,965.527686493592
1702109,37.62,2015.08213426416
1702158,6.02,2590.85694347523
1702208,11.93,1968.62650516566
1702307,4.34,1505.08095759234
1702406,1.84,1637.63159973667
1702554,40.38,2069.8883724236
1702703,4.58,2453.4177613321
1702901,61.75,4077.41319018405
1703008,5.83,2693.3975596817
1703057,2.02,1288.94832402235
1703073,3.73,1395.92207792208
1703107,7.5,2275.72896652111
1703206,4.81,892.93681252509
1703305,2.83,2447.33965014577
1703602,3.22,1907.47972292191
1703701,3.01,935.001929192283
1703800,38.77,2602.17580239144
1703826,6.1,1782.46117647059
1703842,2.51,2213.14135876043
1703867,3.33,1060.10091074681
1703883,6.82,2067.55308900524
1703891,19.12,2439.18737083812
1703909,2.72,1769.49047065659
1704105,1.31,1789.58420479303
1704600,2.03,489.211610486891
1705102,1.99,1142.01875
1705508,36.54,1863.97520996401
1705557,22.27,1861.10689655172
1705607,1.67,1893.91396250808
1706001,3.16,1215.71299165673
1706100,3.91,1324.65952693824
1706258,1.59,1553.23383084577
1706506,3.22,1852.95060009602
1707009,5.94,2964.68937001465
1707108,2.71,1753.9735619469
1707207,1.91,1850.79450980392
1707306,1.34,1182.81121987952
1707405,18.8,3458.66896551724
1707553,9.94,1436.37299237326
1707652,2.77,1326.75249837768
1707702,4.28,2030.64250969334
1708205,1.37,1648.6398249453
1708254,3.89,950.439488117002
1708304,2.75,1719.59200240529
1709005,1.88,1828.77265135699
1709302,10.23,1825.68308489438
1709500,41.8,1892.720007868
1709807,2.01,1381.21168341709
1710508,2.33,3076.40890269151
1710706,8.15,1993.85073313783
1710904,2.84,1350.04726301736
1711100,2.51,1407.02826666667
1711506,1.61,1972.94030898876
1711803,4.64,1380.39176626826
1711902,0.97,2243.62137767221
1711951,3.87,2434.37185929648
1712009,8.6,1058.0163831692
1712157,3.09,2615.93574660633
1712405,0.65,1302.39802078179
1712454,9.38,1826.47184466019
1712504,2.08,1956.9705109489
1712702,0.23,1656.84613800206
1712801,4.27,2299.46417112299
1713205,7.79,1429.60577665827
1713304,12.24,1843.41864594895
1713601,1.86,1166.97292418773
1713700,1.91,1149.04486873508
1713809,7.67,1445.1158531666
1713957,2.66,1574.7681124498
1714203,2.78,1774.7253046595
1714302,11.08,1517.96661329063
1714880,6.82,1726.70283383426
1715002,7.3,1760.86971877044
1715101,1.41,1713.1628959276
1715150,11.42,2077.60190249703
1715259,1.88,1424.10408921933
1715507,5.04,1264.62631578947
1715705,1.88,1776.15909458367
1715754,4.31,1550.3048021896
1716109,35.03,1943.44699743229
1716208,0.92,1995.71384869781
1716307,3.33,1936.93787396563
1716505,5.74,1238.90241203806
1716604,1.96,1518.32509960159
1716653,4.18,1906.12352059925
1716703,8.69,1760.07135678392
1717008,2.89,1872.63098236776
1717206,2.14,2310.53611111111
1717503,0.67,1655.91168261563
1717800,2.52,1160.45786848073
1717909,1.11,1370.95047433036
1718006,5.57,1536.96809137804
1718204,11.04,686.630376737381
1718303,26.5,3522.22934702861
1718402,4.78,1502.22645308924
1718451,5.9,1844.88796296296
1718501,1.7,2090.14291187739
1718550,8.1,2581.83355350066
1718659,2.18,1383.7397260274
1718709,3.04,1424.33153153153
1718758,0.98,1682.25161725067
1718808,17.38,2940.85541727672
1718840,0.94,1311.57650471356
1718865,3.93,1939.85010117361
1718881,2.05,1803.27181395349
1718899,0.65,897.93665158371
1718907,2.54,980.224849445325
1719004,4.67,2208.56554307116
1720002,9.17,1684.83788501027
1720101,4.17,1421.47770941789
1720150,0.75,665.119933554817
1720200,26.28,2869.72606924644
1720259,2.05,1244.38290346352
1720309,14.91,3337.03554724041
1720499,1.74,931.066216216216
1720655,4.03,1670.41673166927
1720804,28.23,2907.67101534829
1720853,1.7,1853.01075268817
1720903,6.18,1528.54976669777
1720937,1.74,1546.35332103321
1720978,1.19,796.544857768052
1721000,102.9,1833.720270027
1721109,2.59,1216.15356330553
1721208,21,2303.57619223206
1721257,2.21,679.782956746288
1721307,2.34,1543.13814814815
1722081,8,1840.0924084549
1722107,9.68,2688.6628757108
2100055,17.92,3032.06439338235
2100105,15.9,3341.44351585014
2100154,26.13,1876.3545557442
2100204,14.7,2273.03053763441
2100303,12.33,2201.02599580713
2100402,15.33,4783.80596421471
2100436,64.18,1987.89968387777
2100477,16.07,4033.53788187373
2100501,0.97,1152.25983566941
2100550,12.8,2303.18125281658
2100600,5.1,2952.81043667331
2100709,25.01,1851.16981132075
2100808,22.91,1872.05241839409
2100832,42.36,2803.6597806682
2100873,17.35,3242.94410774411
2100907,23.84,2830.55992054734
2100956,10.54,3607.95288926843
2101004,25.89,3813.5858693339
2101103,56.15,1108.13222953051
2101202,59.42,3208.64399566387
2101251,24.25,855.500835460664
2101301,21.08,2661.56105077781
2101350,7.85,1295.85576923077
2101400,6.36,2376.07970401066
2101509,7.94,1373.0508966585
2101608,15.92,3207.06600394053
2101707,17.65,1644.27133222037
2101731,13.06,2166.73889219774
2101772,47.17,2489.64548832272
2101806,3.07,1605.75429864253
2101905,26.46,1135.30669014084
2101939,22.93,1796.41791044776
2101970,19.7,2187.57220502236
2102002,5.93,3817.61825911837
2102036,10.62,3392.07122569369
2102077,33.23,4709.76947368421
2102101,31.04,2201.21836940111
2102150,5.26,8057.26048109966
2102200,18.33,1890.63363715278
2102309,14.47,2852.29512235178
2102325,25.63,3226.4901194354
2102358,18.06,3998.149197356
2102374,11.97,2434.59004302397
2102408,11.66,2049.0918200409
2102507,27.7,5230.59669030733
2102556,21.72,3419.40570727217
2102606,11.33,4482.91884057971
2102705,26.45,1999.3949441505
2102754,18.12,1368.44401168452
2102804,3.72,1803.52232381802
2102903,17.86,4868.98996018203
2103000,30.12,3188.85244360415
2103109,35.63,1195.44400785855
2103125,24.72,1297.47723095167
2103158,11.7,3769.86206896552
2103174,2.13,2073.51202770781
2103208,22.59,2856.20418154003
2103257,9.34,2740.0238961039
2103307,27.06,3400.06378160257
2103406,47.92,4454.02114164905
2103505,19.76,3964.32667570417
2103554,19.69,5196.59211072664
2103604,27.27,2644.42442385365
2103703,26.69,2523.3591861161
2103752,37.44,2526.66014371258
2103802,63.27,2527.35142810243
2103901,33.5,3076.16270060874
2104008,38.37,2198.56842355176
2104057,13.18,3307.1399185336
2104073,5.52,2794.4888101983
2104081,1.82,2589.74605678233
2104099,4.49,2387.75233500579
2104107,7,2486.96648882961
2104206,21.72,2303.78254082613
2104305,15.77,2490.56384879725
2104404,19.9,2556.05675498855
2104503,22.63,2957.01448216588
2104552,25.81,1477.90371004566
2104602,19.57,2563.22081784387
2104628,19.66,2395.19413593958
2104651,10.27,2663.68070953437
2104677,24.49,3583.16838636364
2104701,22.62,2509.17364341085
2104800,7.03,1414.70537279933
2104909,20.29,1903.70427807487
2105005,12.29,3684.8231122784
2105104,17.36,3083.75153788447
2105153,34.04,3587.47783043707
2105203,29.5,1871.64288
2105302,180.79,3497.4607369388
2105351,11.54,3147.98959731544
2105401,42.21,2781.07849107545
2105427,6.94,5697.5
2105450,14.42,1571.54151769427
2105476,7.87,1907.05177664975
2105500,32,2983.29010238908
2105609,22.64,1249.21058655222
2105658,7.24,2771.67880184332
2105708,37.68,4981.71927635683
2105807,34.72,3179.728125
2105906,24.73,5019.00327552987
2105922,6.48,3784.52445193929
2105948,43.21,2997.35964621338
2105963,14.13,3329.47959885387
2105989,6.61,2297.32246278755
2106003,35.48,3773.02310626703
2106102,3.17,2375.90193548387
2106201,14.03,3393.19716144293
2106300,40.6,3808.55826221877
2106326,30.44,4474.90010405827
2106359,5.56,3758.43139931741
2106375,14.46,4388.95789473684
2106409,27.63,2090.95470572281
2106508,53.54,4239.56512585812
2106607,15.69,1513.8871280927
2106631,17.36,4366.65987261147
2106672,12.79,4044.98018018018
2106706,2.42,2370.45374183827
2106755,71.61,4779.48330071755
2106805,20.67,2471.21680404148
2106904,24.38,3667.35800422068
2107001,6.32,2328.5455234486
2107100,10.37,1258.2050281294
2107209,21.77,2852.87204116638
2107258,6.57,2555.9625
2107308,4.7,1669.96355194428
2107357,7.8,3538.09703330535
2107407,26.75,2865.33372160745
2107456,66.69,1387.10692603677
2107506,842.63,3020.34884650877
2107605,35.7,2453.26321601104
2107704,37.89,4713.33629032258
2107803,10.06,2063.63590298162
2107902,12.93,2671.37882523568
2108009,11.05,1963.90270106222
2108058,14.83,2122.4796351294
2108108,19.06,3354.03839420465
2108207,136.77,4199.69423905944
2108256,12.99,1388.84636443276
2108306,46.42,5057.15475189235
2108405,34.06,1561.78125786164
2108454,25.71,3104.16649135988
2108504,127.25,5904.60774719674
2108603,51.66,4986.17102284421
2108702,40.39,4167.26082115518
2108801,25.24,2744.15118821293
2108900,20.13,2458.60797266515
2109007,15.19,2052.13188324129
2109056,28.31,2351.97657657658
2109106,57.97,3599.74905680716
2109205,32.54,2340.60602855632
2109239,14.56,2459.72222222222
2109270,23.7,1759.58546845124
2109304,23.33,2402.588264545
2109403,10.2,3743.50465306122
2109452,409.1,1154.47577335375
2109502,3.17,1770.39922275216
2109551,9.75,1939.8896499239
2109601,57.77,3297.24390900525
2109700,2.21,2115.59513633014
2109759,11.72,1327.5376146789
2109809,16.94,3081.06039321627
2109908,188.49,4189.54720731254
2110005,15.54,3181.57276349614
2110039,25.24,3144.3769777574
2110104,15.22,2671.18705131028
2110203,45.82,1734.81050538872
2110237,12.51,1280.86516853933
2110278,8.63,1786.38323750553
2110302,18.53,3128.17483588621
2110401,19.11,1481.28673376029
2110500,88.74,4682.07716138329
2110609,26.29,2041.83743412385
2110658,7.27,2327.40571428571
2110708,29.17,1797.52058793086
2110807,2.31,1641.27135362015
2110856,13.76,2998.08627015008
2110906,5.17,2180.85836030205
2111003,28.84,1397.07938754503
2111029,19.99,6008.00602863602
2111052,5.27,2112.30411229735
2111078,11.99,2127.36276303751
2111102,16.61,3284.21903043615
2111201,419.82,1617.75393722909
2111250,20.67,1811.63050030139
2111300,1215.69,3579.7191346914
2111409,20.81,4165.84148571429
2111508,49.91,3161.30295958417
2111532,16.69,3966.14292893037
2111573,4.52,2231.6555062167
2111607,4.96,3230.73499755262
2111631,14.52,1429.19807692308
2111672,26.19,2697.44844290657
2111706,53.38,1749.26337341566
2111722,27.14,3075.92904439428
2111748,24.05,2067.15072830906
2111763,14.55,2258.91430459201
2111789,9.06,1351.34222222222
2111805,5.46,2046.57911077041
2111904,9.72,1822.00501659904
2111953,8.17,1324.26939090208
2112001,1.78,1470.2253044253
2112100,18.83,2188.56735145774
2112209,89.18,3090.71592977613
2112233,85.01,4148.05706306726
2112274,20.65,2520.82312556459
2112308,11.56,3292.13002114165
2112407,13.16,3285.72190978324
2112456,15.11,4354.88132716049
2112506,31.96,3028.67514200299
2112605,20.35,3898.21054427572
2112704,25.24,2784.78748707342
2112803,42.36,4110.50238938053
2112852,9.47,4236.05817965497
2112902,43.56,4259.33529411765
2113009,24.26,2951.90340059791
2114007,20.77,3569.43209649627
2200053,5.27,912.776627218935
2200103,45.35,915.101963784749
2200202,169.53,2354.86184210526
2200251,13.77,2488.4704379562
2200277,18.23,1939.13935860058
2200301,7.85,1218.55915119363
2200400,40.54,1572.77196182992
2200459,2.37,1016.45228826933
2200509,14.83,1844.71540383014
2200608,29.86,1351.0198915009
2200707,26.93,1593.2758470312
2200806,4.71,2387.77644584648
2200905,7.03,1950.02309007982
2200954,9.49,2579.03225806452
2201002,6.87,2628.77440347072
2201051,4.44,2625.36965098634
2201101,8.48,1812.49048863339
2201150,1.35,2637.34153963415
2201176,14.63,2111.62976313079
2201200,26.08,2660.34386047056
2201309,1.59,2388.22380952381
2201408,50.39,2071.92415498763
2201507,16.22,2106.36696716034
2201556,7.57,1740.01484480432
2201572,13.5,2263.42489959839
2201606,12.57,2084.9426925609
2201705,4.34,1847.17617935544
2201739,10.65,2164.20229007634
2201770,18.65,1249.11485535575
2201804,16.27,2989.25059021922
2201903,4.14,2218.22592202318
2201919,10.17,1627.69667616334
2201929,18.65,1725.59671794872
2201945,22.25,1759.5067264574
2201960,9.04,1803.3947421638
2201988,1.76,2209.27334360555
2202000,27.6,2208.74272765599
2202026,3.01,2592.15516162669
2202059,16.31,2078.70024125452
2202075,6.5,1594.55055248619
2202083,26.36,2258.584375
2202091,11.46,3903.87183098592
2202109,6.51,2238.30742092457
2202117,7.13,1278.23233532934
2202133,17.93,1263.78928571429
2202174,14.24,1729.88259860789
2202208,26.96,2843.48799599867
2202251,1.81,1889.34847161572
2202307,4.63,2582.9696969697
2202406,18.5,1718.92333069411
2202455,3.42,1631.51739130435
2202505,6.34,2779.34463576159
2202539,11.72,1376.44153005464
2202554,9.63,1711.03329842932
2202604,9.01,1471.98756959731
2202653,10.32,1942.38829174664
2202703,20.51,2239.81667557456
2202711,16.04,1571.61996537796
2202729,15.58,899.978711484594
2202737,7.85,1001.36920529801
2202752,14.02,1067.61342592593
2202778,7.84,1573.98818342152
2202802,5.38,2127.0053285968
2202851,2.37,1781.64693396226
2202901,8.33,1905.62824364282
2203008,6.51,2459.37223567393
2203107,5.41,1955.19768481978
2203206,4.6,1543.52820999367
2203230,1.49,856.487848784878
2203255,12.09,1529.97050997783
2203271,6.47,2642.85357798165
2203305,61.24,1264.41070980973
2203354,6.56,1502.35891425046
2203404,29.99,2624.22342857143
2203420,5.04,2161.35201793722
2203453,2.39,1306.04340344168
2203503,10.77,2997.25013396844
2203602,4.28,2120.30893914917
2203701,41.45,2544.02740661686
2203750,7.12,1912.91991814461
2203800,4.61,1795.07127468582
2203859,12.75,1864.21688034188
2203909,16.92,2631.62793076724
2204006,19.48,1990.95782477341
2204105,6.82,2923.71150070126
2204154,18.54,5541.56533333333
2204204,17.47,4819.43379310345
2204303,14.33,2605.90115344285
2204352,11.84,2054.52156521739
2204402,2.98,2545.19234972678
2204501,10.03,1519.08217078032
2204550,1.41,2631.39269776876
2204600,16.8,3029.38056092843
2204659,66.37,2606.03902439024
2204709,15.18,2932.83228628231
2204808,17.67,1958.25956953642
2204907,10.59,2620.57032967033
2205003,13.41,3768.66734693878
2205102,4.18,3234.46584450402
2205151,4.17,2136.71848739496
2205201,20.85,2905.88379002971
2205250,8.45,1934.65495207668
2205276,7.13,1702.37247191011
2205300,2.35,1478.19317773788
2205359,1.64,3235.53917050691
2205409,18.68,2439.57480314961
2205458,30.64,3003.90774526678
2205508,24.11,1717.02608093553
2205516,5.75,1724.37319587629
2205524,4.14,1464.30803177405
2205532,3.55,1526.06307692308
2205540,39.35,1308.24342313788
2205557,20.29,1462.36922365989
2205565,3.58,1697.24148397976
2205573,41.26,2107.4988258317
2205581,9.05,752.243113248798
2205599,6.03,1438.01050521251
2205607,4.85,2307.36825396825
2205706,26.52,932.02221120476
2205805,35.1,3278.97519512195
2205854,44.12,3640.22356621481
2205904,3.22,1787.78936965812
2205953,54.3,6174.88352223191
2206001,6.58,2834.79098240469
2206050,11.94,2883.67121212121
2206100,46.26,2616.08326226013
2206209,23.17,3073.10294117647
2206308,13.4,3988.52816901409
2206357,4.93,2016.89913793103
2206407,18.17,1389.26181818182
2206506,18.41,3269.4689213894
2206605,4.28,2357.05622552858
2206654,1.92,1150.23919803601
2206670,19.8,1826.15608999224
2206696,17.57,4651.93403141361
2206704,5.56,1588.65500685871
2206720,22.19,491.214678899083
2206753,12.79,1032.19651162791
2206803,22.89,2113.35730088496
2206902,12.37,2064.74347003155
2206951,6.77,422.248003549246
2207009,13.19,1776.16118504436
2207108,11.96,863.658969804618
2207207,24.47,2893.28689320388
2207306,10.11,3224.84898511502
2207355,3.12,1574.177328844
2207405,2.47,1486.00844594595
2207504,9.17,1549.78170081392
2207553,9.25,1471.26404494382
2207603,3,2805.46809815951
2207702,334.52,2496.58437626945
2207751,5.35,4634.79545454545
2207777,8.12,2213.95383631714
2207793,8.72,932.2816
2207801,10.04,2187.81164149043
2207850,3.36,1389.78259172522
2207900,24.7,2617.09300341297
2207934,2.77,1384.07262295082
2207959,4.6,2157.11556886227
2208007,137.3,2442.29821220522
2208106,2.57,2938.34828002414
2208205,9.08,5096.57247879359
2208304,11.57,1595.01783976646
2208403,43.89,2138.2039800995
2208502,47.08,2794.9202020202
2208551,2.19,2219.06833333333
2208601,15.71,1410.14445664105
2208650,6.32,1596.26738255034
2208700,3.4,2091.06431852986
2208809,14.03,1343.2909643788
2208858,1.91,3834.11841652324
2208874,4.25,2286.06825053996
2208908,1.72,2230.39827255278
2209005,9.86,1520.17129186603
2209104,9.85,4746.84225028703
2209153,3.87,1264.16748994831
2209203,1.15,1665.43491620112
2209302,4.65,1744.15581395349
2209351,34.84,1499.32987447699
2209377,15.14,1515.60593814433
2209401,15.51,1941.32177227251
2209450,62.12,1936.60864485981
2209500,4.28,1804.68721109399
2209559,6.57,1831.1782300885
2209609,4.67,1252.06415396953
2209658,5.06,1610.91778741866
2209708,4.7,1451.56744355426
2209757,2.04,1531.46282973621
2209807,31.65,2023.43262158956
2209856,9.26,2864.56666666667
2209872,7.33,1591.79200532978
2209906,6.12,1458.76259640103
2209955,11.77,2335.17990115321
2209971,34.38,1692.21345155709
2210003,12.8,3704.99295436349
2210052,16.13,2826.50399181167
2210102,2.87,2298.80450669915
2210201,18.06,2168.99887892377
2210300,22.07,1955.18229007634
2210359,6.58,992.566080843585
2210375,11.62,2259.42739726027
2210383,5.49,1784.15696202532
2210391,3.66,3347.38588957055
2210409,3.48,1760.28803486529
2210508,26.32,1742.07470478558
2210607,13.38,1491.47810571505
2210623,3.98,2316.18454935622
