"city_code","pop.urban","pop.rural"
1507102,41.19,58.81
1507151,65.95,34.05
1507201,22.08,77.92
1507300,49.39,50.61
1507409,33.95,66.05
1507458,53.11,46.89
1507466,19.58,80.42
1507474,50.79,49.21
1507508,19.66,80.34
1507607,61.83,38.17
1507706,43.23,56.77
1507755,65.88,34.12
1507805,49.6,50.4
1507904,91.37,8.63
1507953,74.04,25.96
1507961,42.23,57.77
1507979,66.87,33.13
1508001,55.85,44.15
1508035,26.43,73.57
1508050,33.65,66.35
1508084,79.87,20.13
1508100,95.18,4.82
1508126,65.82,34.18
1508159,54.54,45.46
1508209,67.56,32.44
1508308,32.44,67.56
1508357,47.13,52.87
1508407,77.62,22.38
1600055,58.79,41.21
1600105,86.24,13.76
1600154,55.36,44.64
1600204,81.19,18.81
1600212,52,48
1600238,73.68,26.32
1600253,41.13,58.87
1600279,94.9,5.1
1600303,95.7,4.3
1600402,48.57,51.43
1600501,67.54,32.46
1600535,64.3,35.7
1600550,49.59,50.41
1600600,97.88,2.12
1600709,51.87,48.13
1600808,82.89,17.11
1700251,61.73,38.27
1700301,80.24,19.76
1700350,83.87,16.13
1700400,79.21,20.79
1700707,92.73,7.27
1701002,82.55,17.45
1701051,61.04,38.96
1701101,78.64,21.36
1701309,37.91,62.09
1701903,46.3,53.7
1702000,66.95,33.05
1702109,94.98,5.02
1702158,67.32,32.68
1702208,64.27,35.73
1702307,80.91,19.09
1702406,69.24,30.76
1702554,82.61,17.39
1702703,72.03,27.97
1702901,82.17,17.83
1703008,47.29,52.71
1703057,53.97,46.03
1703073,53.02,46.98
1703107,83.74,16.26
1703206,49.08,50.92
1703305,75,25
1703602,69.57,30.43
1703701,80.91,19.09
1703800,76.31,23.69
1703826,80.59,19.41
1703842,59.21,40.79
1703867,55.72,44.28
1703883,78.76,21.24
1703891,53.34,46.66
1703909,59.49,40.51
1704105,58.61,41.39
1704600,56.1,43.9
1705102,50.53,49.47
1705508,96.01,3.99
1705557,85.67,14.33
1705607,69.61,30.39
1706001,37.61,62.39
1706100,81.89,18.11
1706258,55.75,44.25
1706506,66.17,33.83
1707009,86.04,13.96
1707108,70.19,29.81
1707207,38.78,61.22
1707306,66.53,33.47
1707405,48.69,51.31
1707553,82.39,17.61
1707652,75.92,24.08
1707702,65.11,34.89
1708205,72.36,27.64
1708254,81.36,18.64
1708304,55.69,44.31
1709005,41.02,58.98
1709302,91.07,8.93
1709500,97.71,2.29
1709807,58.45,41.55
1710508,60.15,39.85
1710706,56.33,43.67
1710904,54.19,45.81
1711100,63.93,36.07
1711506,37.35,62.65
1711803,46.3,53.7
1711902,62.02,37.98
1711951,72,28
1712009,78.11,21.89
1712157,63.74,36.26
1712405,69.34,30.66
1712454,63.88,36.12
1712504,54.76,45.24
1712702,63.74,36.26
1712801,63.95,36.05
1713205,86.72,13.28
1713304,87.43,12.57
1713601,42.9,57.1
1713700,21.58,78.42
1713809,56.31,43.69
1713957,57.11,42.89
1714203,79.94,20.06
1714302,45.39,54.61
1714880,69.86,30.14
1715002,65.46,34.54
1715101,81.95,18.05
1715150,74.32,25.68
1715259,72.28,27.72
1715507,78.78,21.22
1715705,38.88,61.12
1715754,81.5,18.5
1716109,95.62,4.38
1716208,45.66,54.34
1716307,63.21,36.79
1716505,86.8,13.2
1716604,50.41,49.59
1716653,47.29,52.71
1716703,73.98,26.02
1717008,65.4,34.6
1717206,38.42,61.58
1717503,56.45,43.55
1717800,55.04,44.96
1717909,63.05,36.95
1718006,68.63,31.37
1718204,86.34,13.66
1718303,58.34,41.66
