"votes_pct.JB","totalVotos","city_UF","city_code"
0.387348969438522,4221,"SANTA LUZIA DO NORTE (al)",2707909
0.211645477989413,22103,"SANTANA DO IPANEMA (al)",2708006
0.189406924922866,5834,"SANTANA DO MUNDAÚ (al)",2708105
0.220743345052737,3982,"SÃO BRÁS (al)",2708204
0.368845985081176,11395,"SÃO JOSÉ DA LAJE (al)",2708303
0.12943011057556,14108,"SÃO JOSÉ DA TAPERA (al)",2708402
0.419216777230901,14019,"SÃO LUÍS DO QUITUNDE (al)",2708501
0.511310872553026,26921,"SÃO MIGUEL DOS CAMPOS (al)",2708600
0.491249392318911,4114,"SÃO MIGUEL DOS MILAGRES (al)",2708709
0.204161781946073,17060,"SÃO SEBASTIÃO (al)",2708808
0.510399334442596,7212,"SATUBA (al)",2708907
0.144371240332283,3491,"TANQUE D'ARCA (al)",2709004
0.212930202637504,9327,"TAQUARANA (al)",2709103
0.135052838975461,11166,"TRAIPU (al)",2709202
0.33286465133407,29871,"UNIÃO DOS PALMARES (al)",2709301
0.313909918176952,13077,"VIÇOSA (al)",2709400
0.157831415895932,13299,"CRAÍBAS (al)",2702355
0.127989444169553,6063,"SENADOR RUI PALMEIRA (al)",2708956
0.355645418750665,18794,"TEOTÔNIO VILELA (al)",2709152
0.513729246487867,6264,"APUÍ (am)",1300144
0.414231084403169,7322,"NOVO AIRÃO (am)",1303205
0.504805980776077,5618,"GUAJARÁ (am)",1301654
0.379676440849343,5934,"ANORI (am)",1300102
0.278552920071756,10034,"CAREIRO DA VÁRZEA (am)",1301159
0.174707452268528,4871,"ATALAIA DO NORTE (am)",1300201
0.266552376448333,16916,"AUTAZES (am)",1300300
0.346495200144901,5521,"BARCELOS (am)",1300409
0.0819166600774888,12647,"BARREIRINHA (am)",1300508
0.141668414796168,14301,"BENJAMIN CONSTANT (am)",1300607
0.474711486329486,12911,"BOCA DO ACRE (am)",1300706
0.17261858850752,12965,"BORBA (am)",1300805
0.334851485148515,5050,"CANUTAMA (am)",1300904
