"city_code","pop.edu.kindergarten","pop.edu.pre","pop.edu.literacy","pop.edu.literacy_adults","pop.edu.elem","pop.edu.elem_adults","pop.edu.high","pop.edu.high_adults","pop.edu.undergrad","pop.edu.grad","pop.edu.master","pop.edu.doc","pop.edu.public","pop.edu.private"
1200104,1.39,8.33,10.96,2.5,49.02,4.48,11.45,3.42,6.67,1.13,0,0.64,92.88,7.12
1200138,4.54,7.11,4.96,0.64,58.81,3.14,13.47,1.72,5.54,0.08,0,0,96.23,3.77
1200179,0.43,7.71,9.09,1.99,60.15,6.6,9.16,3.12,1.41,0.34,0,0,99.29,0.71
1200203,3.81,8.45,4.66,1.06,54,3.7,12.53,3.7,7.1,0.89,0.06,0.04,93.92,6.08
1200252,1.53,8.72,4.39,2.94,50.12,3.98,13.08,3.94,11.04,0.26,0,0,90.26,9.74
1200302,1.71,6.19,5.96,4.45,60.42,4.27,10.58,1.99,3.69,0.73,0,0,97.22,2.78
1200328,4.7,4.4,6.63,6.66,65.8,1.81,5.73,0.84,3.43,0,0,0,100,0
1200336,4.74,9.99,3.84,1.38,56.65,1.84,12.53,1.74,6.58,0.71,0,0,97.99,2.01
1200344,4.19,11.49,8.9,1.48,55.51,3.78,9.62,1.53,3.37,0.13,0,0,99.73,0.27
1200351,5.02,8.57,2.64,2.44,64.92,1.32,10.19,1.63,3.19,0.08,0,0,99.69,0.31
1200385,1.4,10.49,7.61,2.56,54.18,3.89,13.05,2.17,4.1,0.47,0.08,0,98.04,1.96
1200393,2.04,11.17,1.8,1.62,67.7,2.58,9.04,0.23,3.81,0,0,0,99.69,0.31
1200401,1.59,7.91,5.92,1.12,45.43,4.64,14.97,3.94,13.2,0.86,0.3,0.11,82.92,17.08
1200427,5.08,9.62,4.73,3.14,57.8,2.12,10.65,2.35,3.98,0.54,0,0,98.5,1.5
1200435,10.48,15.94,1.36,1.71,49.47,3.66,11.13,0.61,5.64,0,0,0,99.48,0.52
1200450,0.49,7.92,9.76,2.22,49.72,4.23,13.86,2.32,9.11,0.32,0,0.06,92.26,7.74
1200500,0.6,6.7,5.37,2.1,59.97,3.61,14.42,1.1,5.74,0.39,0,0,96.81,3.19
1200609,1.01,7.54,4.24,2.28,61.2,3.76,14,1.92,3.5,0.48,0.07,0,97.57,2.43
1200708,2.21,8.71,6.59,1.61,53.38,5.38,13.3,3.47,4.76,0.59,0,0,97.41,2.59
1200807,0.87,5.67,4.46,1.27,66.25,2.02,11.57,2.27,5.45,0.18,0,0,96.6,3.4
1300029,1.44,7.87,9.45,1.86,58.19,4.11,11.3,2.87,2.82,0.08,0,0,99.62,0.38
1300060,5.15,6.39,13.21,2.04,52.92,3.66,11.02,1.29,4.16,0.16,0,0,98.86,1.14
1300086,2.57,9.97,6.64,0.55,58.54,1.48,16.49,0.75,2.35,0.67,0,0,98.53,1.47
1300102,0.33,10.39,2.98,0.28,68.06,1.86,13.77,0.33,1.78,0.12,0.1,0,99.23,0.77
1300144,3.77,7.21,8.72,2.1,55.45,1.75,13.71,2.53,4.35,0.41,0,0,97.24,2.76
1300201,1.48,5.36,11.63,4.15,60.29,3.86,8.13,1.89,2.92,0.28,0,0,99.58,0.42
1300300,4.09,7.1,8.48,1.41,58.74,5.86,8.76,3.75,1.66,0.08,0.06,0,98.29,1.71
1300409,2.64,8.66,10.1,6.02,52.26,2.55,13.56,2.89,1.02,0.3,0,0,99.52,0.48
1300508,1.39,9.28,13.95,1.09,54.7,3.07,12.94,2.38,1.03,0.16,0,0,99.46,0.54
1300607,0.54,4.59,6.97,2.68,61.12,2.55,12.43,3.09,5.81,0.22,0,0,98.65,1.35
1300631,1.05,5.35,12.09,1.82,62.2,5.31,7.54,2.94,1.54,0.17,0,0,99.47,0.53
1300680,2.42,5.9,17.89,0.67,49.37,7.14,12.23,2.53,1.62,0.23,0,0,99.28,0.72
1300706,0.38,8.11,7.09,1.14,63.64,2.19,14.02,1.99,1.25,0.08,0,0.11,99.24,0.76
