"city_code","GDP.agri.2018_pct","GDP.govt.2018_pct","GDP.industry.2018_pct","GDP.services.2018_pct","GDP.tax.2018_pct","GDP.growth2010_15","GDP.growth2015_18","GDP.percapita.2018"
1503754,0.0770170751841091,0.32871625208267,0.474469555646554,0.0876140458068192,0.032183071279848,0.152044446569543,0.316587190186871,51.8650410158445
1503804,0.0890889753941784,0.40316375313639,0.0717420260823774,0.362960132993278,0.0730451123937757,0.117484232928284,0.0183544884202422,8.28361017500043
1503903,0.110194003810449,0.242345743544159,0.332780192890172,0.267519987800143,0.0471600719550772,0.0983350268212471,0.0905888273955355,17.5148133830041
1504000,0.643915499428216,0.271482662464526,0.0121741879552353,0.0627110229627562,0.00971662718926676,0.158523965022888,6.09321801643414e-05,14.1648182486093
1504059,0.0653424797788471,0.419644380737859,0.0540459369987372,0.391638510631036,0.0693286918535204,0.0960081177358061,0.0192534062516749,9.79409700170472
1504109,0.325255663747125,0.437882272349171,0.05154866174096,0.164505553652689,0.0208078485100553,0.116412690271877,0.109945312279657,9.59145840666432
1504208,0.0352752636747522,0.133690567339031,0.382125248510984,0.344207514600892,0.10470140587434,0.161320678254776,0.0632202871495622,31.9201958660201
1504307,0.255636309384258,0.489775996930881,0.0390119141499179,0.19025554679341,0.0253202327415333,0.107096973751345,0.0788835833642858,7.97155866662136
1504406,0.23296740775478,0.473105535778995,0.0398269136486688,0.226905122247565,0.0271950205699913,0.130576193003328,0.0813498855019847,8.31201275690999
1504422,0.000942229550674283,0.269839400338193,0.103353958626027,0.494253030698175,0.13161138078693,0.168191235674449,0.0608802093380532,14.7065983096326
1504455,0.542044506983531,0.183166236710444,0.0425803236397749,0.196778259849906,0.0354306728163435,0.193272140723507,-0.00574323138560739,19.6718034152436
1504505,0.144172967147692,0.667660150088965,0.0323864369867704,0.136752712434259,0.019027733342314,0.152451747883772,0.0817573562015168,6.49866861207368
1504604,0.230570080043975,0.490690943392385,0.0395130177494715,0.202994099344108,0.0362318594700607,0.145251455122719,0.0510264567935632,9.58852811035919
1504703,0.244688921806095,0.343976681055583,0.080736865081131,0.254964599875819,0.0756329321813724,0.132039463265548,0.0838529442236422,11.6533560527486
1504752,0.210114118030649,0.451137919791327,0.0530224975546136,0.244173459406586,0.0415520052168243,NA,0.0685029284227552,9.59516956576148
1504802,0.364606285837106,0.328556670295156,0.0423687330564588,0.227356495573012,0.0371118152382669,0.0922120591940372,0.0557890663007592,12.4550086355786
1504901,0.310982524271845,0.489588349514563,0.0312932038834951,0.145968932038835,0.0221669902912621,0.105809201710411,0.034647210341918,6.47261393057336
1504950,0.295434330006744,0.430605921393453,0.0392299647140469,0.202713401820012,0.0320163820657433,0.127022707800311,0.0455144572395452,9.61035179183693
1504976,0.217196461838612,0.453792668436725,0.0469041087852606,0.235158645171701,0.0469481157677018,0.14693804546806,0.0065966732755145,8.26365234256622
1505007,0.177618113054978,0.463254184179715,0.0474979152803632,0.265909148339384,0.0457206391455598,0.12318384966352,0.0566488868024531,7.80135366013931
1505031,0.229576744289495,0.19806738489597,0.0967265647321696,0.381905343605484,0.0937239624768817,0.0973104640047959,0.0775871184846175,22.6917074307011
1505064,0.301750803749347,0.346963314374293,0.039630169928886,0.253246023401809,0.0584096885456644,0.161943913756526,0.0504095559092372,11.4490496233345
1505106,0.38242818279382,0.325071130855817,0.0552122070531859,0.199191354481244,0.0380971248159333,0.0800868498809666,0.0629229260653523,12.3368485874836
1505205,0.472418346413523,0.357710790963215,0.0279355780294002,0.123665061351193,0.0182702232426686,0.184161432516108,0.0265910072181825,12.0772506839095
1505304,0.102537700350831,0.181728262399729,0.338016818004941,0.310812812863272,0.0669044063812274,0.010387934027057,-0.0188497056524741,22.5430848115299
1505403,0.291474014072016,0.360722521137586,0.0632590315142198,0.239638148170047,0.0449062851061314,0.116182102735303,0.0268734226098628,9.54404378985385
1505437,0.0795241487158074,0.220478307502108,0.205069633777909,0.3071238506947,0.187804059309475,0.0911379415258904,0.06591673712777,18.895850737956
1505486,0.405656322819364,0.307263301390745,0.042602056234177,0.201328963891668,0.0431493556640455,0.140434366570694,0.111357128093432,12.6772230025965
1505494,0.235922107674685,0.478747613592974,0.0538678885070638,0.200931653302787,0.0305307369224895,0.0813733335070879,0.0709767678611766,8.6196682464455
1505502,0.0949632623765181,0.179359310957067,0.245973594242865,0.375233364184123,0.104470468239427,0.109015288116066,0.0340258447230604,23.6851759063741
1505536,0.0111627369033069,0.0749006123616403,0.662720336095577,0.210423964314852,0.0407923503246236,-0.0568302874080528,0.126665993283005,78.8411490423004
1505551,0.292483065872619,0.389064417875165,0.0450175023866891,0.224587443742329,0.0488475701231986,0.115305089886645,0.0622981048015339,15.8337232319597
1505601,0.164775512427153,0.558613678037799,0.0428641455311269,0.200159764710154,0.0335868992937674,0.115530930433363,0.0429596948894473,6.82286634460548
1505635,0.535994931369381,0.227820488833705,0.0557421801915194,0.139293793478816,0.0411486061265797,0.151745394017742,0.0915951434264857,18.1138411769237
1505650,0.357999543721279,0.406805071212072,0.0351090180230095,0.168619430955252,0.0314669360883877,0.161124360677631,0.0139490978592864,8.10299409104414
1505700,0.2580693837325,0.503751172978351,0.026529351572852,0.183371293034748,0.0282787986815488,0.109551178006493,0.0421173330136633,6.92848274960795
1505809,0.512331670460166,0.29250006154645,0.0443056105743515,0.131642260701809,0.0192203967172243,0.110044670530336,0.260457733598362,14.6195399666263
1505908,0.200948555388859,0.525644872477375,0.0478891416219007,0.188930294084434,0.0365871364274307,0.107130364580517,0.123501094838345,7.66090760788966
1506005,0.346226317065568,0.442059506078764,0.0376294551626199,0.155962730767899,0.0181219909251498,0.0982978130898811,0.0848438745852402,9.66037609583082
1506104,0.0405876056026576,0.229403398382728,0.388401674565402,0.14953989657096,0.192067424878252,0.18512310966656,0.346295848114516,18.4374536693847
1506112,0.253069262248844,0.506210320105847,0.0306362116534529,0.1812018584806,0.0288823475112565,0.119953611089249,0.0876997444020486,7.21573416222617
1506138,0.0397068172967143,0.173736049023556,0.11983609995107,0.511341080084901,0.155379953643758,0.142998129257944,0.0708525348858056,21.4598378513518
1506161,0.280810760640816,0.16096118268603,0.178097448957245,0.251070495212232,0.129060112503676,0.123635205553463,0.099387532692065,26.3637413394919
