"city_code","time.5min","time.6_30min","time.30_60min","time.1_2h","time.2hplus","time.avg"
3544905,21.8,62.23,13.96,1.89,0.13,20.4304
3545001,13.17,44.28,24.28,15.22,3.04,36.9009
3545100,21.96,55.66,18.48,3.9,0,22.9428
3545159,23.25,57.31,16.59,2.62,0.23,21.5778
3545209,7.8,61.85,25.05,4.84,0.46,27.7035
3545308,8.89,50.52,27.96,11.14,1.49,33.9341
3545407,20.68,60.42,14.97,3.59,0.34,22.2851
3545506,29.15,45.76,17.39,6.78,0.92,24.7258
3545605,18.69,69.12,10.36,1.71,0.12,19.7211
3545704,21.55,62.46,13.41,2.4,0.17,20.7188
3545803,7.88,65.86,22.25,3.59,0.42,25.9963
3546009,9.9,53.88,27.08,8.01,1.13,30.9444
3546108,18.99,71.1,9.08,0.83,0,18.5805
3546207,21.35,71.76,5.98,0.68,0.23,17.5633
3546256,16.2,17.58,12.74,48.69,4.79,59.2764
3546306,15.05,50.81,27.08,6.57,0.49,28.5853
3546405,17.26,63.36,15.57,3.38,0.43,22.8323
3546504,12.58,59.62,21.31,6.05,0.44,26.9231
3546603,21.03,69.91,6.68,1.52,0.86,19.0413
3546702,12.31,71.99,13.41,2.16,0.13,21.7082
3546801,8.33,47.07,28.97,11.51,4.12,37.2286
3546900,9.77,36.92,43.75,8.82,0.75,35.6596
3547007,17.24,62.52,15.06,4.44,0.73,23.7646
3547106,30.98,51.62,12.47,4.35,0.57,21.0511
3547205,54.99,39.14,5.23,0,0.63,12.9042
3547304,5.39,43.87,32.64,15.8,2.29,39.8221
3547403,27.16,58.85,11.59,2.18,0.22,19.3925
3547502,16.29,63.23,16.24,3.89,0.34,23.4129
3547601,18.59,54.52,17.03,8.56,1.31,27.6826
3547650,64.2,29.9,5.65,0.25,0,11.3595
3547700,15.55,58.77,18.43,5.56,1.69,26.6816
3547809,5,39.05,35.1,18.33,2.53,42.607
3547908,19.94,55.09,21.56,3.28,0.12,23.7112
3548005,13.86,63.53,19.62,2.61,0.38,23.7624
3548054,28.5,49.86,16.22,4.85,0.57,22.7478
3548104,18.13,71.33,9.51,0.78,0.25,19.0274
3548203,16.91,67.22,12.04,3.15,0.69,22.0261
3548302,13.17,39.13,28.26,17.34,2.1,38.5449
3548401,14.12,53,23.85,8.24,0.79,29.3425
3548500,6.42,54.13,29.72,8.22,1.51,32.6484
3548609,16.01,60.67,16.71,6.29,0.3,25.2616
3548708,5.74,38.88,35.35,17.09,2.94,42.1019
3548807,8.58,47.48,28.27,13.89,1.79,36.3459
3548906,10.27,67.94,18.52,2.94,0.33,24.1187
3549003,27.45,52.04,13.22,6.77,0.53,23.4177
3549102,11.68,68.81,16.47,2.52,0.52,23.2733
3549201,25.91,55.36,14.17,3.94,0.63,21.9388
3549250,39.05,42.16,12.73,4.47,1.59,21.2008
3549300,32.98,43.17,17.66,5.96,0.24,23.0186
3549409,12.09,67.11,18.34,2.24,0.22,23.2173
3549508,15.03,35.68,36.71,11.4,1.18,35.3694
3549607,27.77,60.48,9.94,1.81,0,18.3769
3549706,13.32,63.95,19.29,2.67,0.77,24.1845
3549805,8.98,66.43,20.42,3.7,0.46,25.4774
3549904,7.38,53.11,30.6,8.01,0.89,31.9758
3549953,14.37,49.06,22.18,10.41,3.99,33.6873
3550001,17.78,59.72,16.98,4.94,0.59,24.4336
3550100,11.01,60.77,23.39,3.83,1,26.6616
3550209,26.48,56.7,11.68,4.37,0.76,21.631
3550308,5.16,28.44,35.37,25.16,5.87,50.9817
3550407,16.73,61.87,18.21,2.78,0.42,23.1736
3550506,21.97,51.98,21.56,3.66,0.83,24.4469
3550605,10.5,56.25,25.06,7.13,1.07,29.628
3550704,13.53,65.86,17.02,3.02,0.57,23.5923
3550803,31.35,52.04,13.93,2.02,0.66,19.8132
3550902,17.47,61.18,15.51,5.44,0.4,24.2414
3551009,4.52,38.24,41.27,14.91,1.06,40.3717
3551108,14.8,65.4,18.58,1.08,0.14,22.013
3551207,20.85,57.9,15.21,5.2,0.84,23.997
3551306,41.47,50.64,5.4,1.67,0.83,16.1177
3551405,12.1,35.33,42.09,10,0.48,35.4809
3551504,8.08,50.72,33.92,7.15,0.13,31.3886
3551603,17.57,66.4,13.34,2.31,0.38,21.3685
3551702,9.92,68.07,18,3.24,0.78,24.7006
3551801,15.4,71.5,9.72,3.08,0.3,21.146
3551900,11.77,39.83,38.27,9.56,0.58,34.2794
3552007,18.39,59.92,15.04,5.61,1.03,24.7581
3552106,20.7,65.07,10.74,2.84,0.66,20.9286
3552205,7.7,48.94,31.85,10.24,1.27,34.2667
3552304,20.98,55.93,16.72,4.69,1.68,24.8774
3552403,6.28,48.21,35.47,9.47,0.57,34.1603
3552502,6.82,38.37,28.48,19.08,7.25,45.9356
3552551,24.92,46.05,18.99,7.76,2.28,27.8005
3552601,22.29,50.76,19.78,6.58,0.59,25.7823
3552700,12.81,58.01,24.97,4.06,0.14,26.1408
3552809,3.4,32.13,35.36,24.62,4.49,49.4114
3552908,20.89,32.06,29.19,17.43,0.43,36.1538
3553005,35.92,55.91,6.03,1.77,0.37,16.6103
3553104,20.03,50.41,25.97,3.05,0.54,25.1548
3553203,23.65,55.54,16.36,3.94,0.5,22.6877
3553302,18.42,65.97,12.07,2.78,0.76,21.6411
3553401,21.68,58.15,16.67,3.2,0.31,22.3045
3553500,17.35,61.36,14.51,5.69,1.09,24.8708
3553609,17.43,64.33,15.97,2.03,0.24,21.7524
3553658,26.53,66.35,6.09,0.7,0.34,17.048
3553708,13.87,54.62,19.99,9.65,1.88,30.4616
3553807,19,56.79,15.35,7.09,1.77,26.5847
3553856,22.96,63.55,10.28,2.17,1.05,20.426
3553906,19.81,38.47,26.72,13,2,34.0391
3553955,14.39,68.06,15.3,1.91,0.34,21.9823
3554003,8.59,69.4,17.96,3.54,0.51,24.8015
3554102,8.31,63.72,23.15,4.14,0.67,26.8326
3554201,21.4,47.85,24.25,5.81,0.69,26.6525
3554300,12.94,56.29,20.69,9.36,0.72,29.3777
3554409,17.26,42.61,23.67,15.63,0.83,34.2473
3554508,12.28,67.8,17.34,2.24,0.34,23.045
3554607,20.9,60.16,14.98,3.27,0.69,22.3858
3554656,24.35,56.18,17.56,1.92,0,20.9599
