"city_code","metro_class"
2508703,"metro"
2508802,"metro"
2509396,"metro"
2510709,"metro"
2510808,"metro"
2512606,"metro"
2513000,"metro"
2513406,"metro"
2513802,"metro"
2514404,"metro"
2514602,"metro"
2514701,"metro"
2514909,"metro"
2516706,"metro"
2517100,"metro"
2505501,"metro"
2500775,"metro"
2508406,"metro"
2509156,"metro"
2510006,"metro"
2513208,"metro"
2513984,"metro"
2514206,"metro"
2516201,"metro"
2517209,"metro"
2501401,"metro"
2505238,"metro"
2505279,"metro"
2507101,"metro"
2507309,"metro"
2508901,"metro"
2509057,"metro"
2509305,"metro"
2512721,"metro"
2500205,"metro"
2502102,"metro"
2504207,"metro"
2504405,"metro"
2504801,"metro"
2505303,"metro"
2505600,"metro"
2506608,"metro"
2502607,"metro"
2507002,"metro"
2510204,"metro"
2511301,"metro"
2513356,"metro"
2513505,"metro"
2513604,"metro"
2514305,"metro"
2515708,"metro"
2608750,"metro"
2609808,"metro"
2611101,"metro"
2612604,"metro"
2600054,"metro"
2601052,"metro"
2602902,"metro"
2603454,"metro"
2606804,"metro"
2607604,"metro"
2607208,"metro"
2607752,"metro"
2607901,"metro"
2609402,"metro"
2609600,"metro"
2610707,"metro"
2611606,"metro"
2613701,"metro"
2200400,"metro"
2201606,"metro"
2202737,"metro"
2203255,"metro"
2203305,"metro"
2205508,"metro"
2205557,"metro"
2205581,"metro"
2206308,"metro"
2206407,"metro"
2206720,"metro"
2211001,"metro"
2211100,"metro"
2401206,"metro"
2401701,"metro"
2402600,"metro"
2403608,"metro"
2404200,"metro"
2404606,"metro"
2407104,"metro"
2407500,"metro"
2407807,"metro"
2408102,"metro"
2408201,"metro"
2403251,"metro"
2412005,"metro"
2412203,"metro"
2414803,"metro"
2800308,"metro"
2800605,"metro"
2804805,"metro"
2806701,"metro"
1300300,"metro"
1301100,"metro"
1301159,"metro"
1301852,"metro"
1301902,"metro"
1302009,"metro"
1302504,"metro"
1302553,"metro"
1302603,"metro"
1303205,"metro"
1303536,"metro"
1303569,"metro"
1304005,"metro"
1600303,"metro"
1600402,"metro"
1600600,"metro"
1500800,"metro"
1501402,"metro"
1501501,"metro"
1502400,"metro"
1504422,"metro"
1506351,"metro"
1506500,"metro"
1501451,"metro"
1504752,"metro"
1506807,"metro"
1100809,"metro"
1100205,"metro"
1400050,"metro"
1400100,"metro"
1400159,"metro"
1400175,"metro"
1400308,"metro"
1400209,"metro"
1400282,"metro"
1400233,"metro"
1400472,"metro"
1400506,"metro"
1400605,"metro"
1700350,"metro"
1700707,"metro"
1702000,"metro"
1703867,"metro"
1706258,"metro"
1707306,"metro"
1707652,"metro"
1708205,"metro"
1709500,"metro"
1711506,"metro"
1711902,"metro"
1715754,"metro"
1716604,"metro"
1718840,"metro"
1720259,"metro"
1720499,"metro"
1720853,"metro"
1720978,"metro"
1701101,"metro"
1703107,"metro"
1703701,"metro"
1707553,"metro"
1709807,"metro"
1712009,"metro"
1713205,"metro"
1713304,"metro"
1713601,"metro"
1715507,"metro"
1721000,"metro"
1716109,"metro"
1718204,"metro"
1718451,"metro"
1720655,"metro"
1721109,"metro"
3201308,"metro"
3202207,"metro"
3202405,"metro"
3205002,"metro"
3205101,"metro"
3205200,"metro"
3205309,"metro"
3104502,"metro"
3109303,"metro"
3109451,"metro"
3170404,"metro"
3105400,"metro"
3106408,"metro"
3107703,"metro"
3108107,"metro"
3126406,"metro"
3127206,"metro"
3131000,"metro"
3131901,"metro"
3133808,"metro"
3142304,"metro"
3147105,"metro"
3153608,"metro"
3157203,"metro"
3161908,"metro"
3163102,"metro"
3167202,"metro"
3105004,"metro"
3106200,"metro"
3106705,"metro"
3109006,"metro"
3110004,"metro"
3112505,"metro"
3117876,"metro"
3118601,"metro"
3124104,"metro"
3126000,"metro"
3129806,"metro"
3130101,"metro"
3132206,"metro"
3133709,"metro"
3134608,"metro"
3136652,"metro"
3137601,"metro"
3140159,"metro"
3140704,"metro"
3141108,"metro"
3144805,"metro"
3136603,"metro"
3149309,"metro"
3153905,"metro"
3154606,"metro"
3154804,"metro"
3155306,"metro"
3156700,"metro"
3157807,"metro"
3162922,"metro"
3162955,"metro"
3165537,"metro"
3168309,"metro"
3171204,"metro"
3100500,"metro"
3103009,"metro"
3106309,"metro"
3107802,"metro"
3108800,"metro"
3109253,"metro"
3113404,"metro"
3120003,"metro"
3121803,"metro"
3122504,"metro"
3123858,"metro"
3129301,"metro"
3131158,"metro"
3135001,"metro"
3136108,"metro"
3140308,"metro"
3141702,"metro"
3144359,"metro"
3149952,"metro"
3150539,"metro"
3162609,"metro"
3163409,"metro"
3167707,"metro"
3170578,"metro"
3119401,"metro"
3131307,"metro"
3158953,"metro"
3168705,"metro"
3300456,"metro"
3300803,"metro"
3301702,"metro"
3301850,"metro"
3301900,"metro"
3302007,"metro"
3302270,"metro"
3302502,"metro"
3302700,"metro"
3302858,"metro"
3303203,"metro"
3303302,"metro"
3303500,"metro"
3303609,"metro"
3303906,"metro"
3304144,"metro"
3304300,"metro"
3304557,"metro"
3304904,"metro"
3305109,"metro"
3305554,"metro"
3305752,"metro"
3503000,"urban"
3508207,"urban"
3513207,"urban"
3516200,"urban"
3517406,"urban"
3517703,"urban"
3520103,"urban"
3521309,"urban"
3523701,"urban"
3524105,"urban"
3525409,"urban"
3529708,"urban"
3536307,"urban"
3537008,"urban"
3542701,"urban"
3543105,"urban"
3543600,"urban"
3549409,"urban"
3549508,"urban"
3508405,"urban"
3509601,"urban"
3524006,"urban"
3525201,"urban"
3525904,"urban"
3527306,"urban"
3556503,"urban"
3500600,"urban"
3502002,"urban"
3503307,"urban"
3510401,"urban"
3511706,"urban"
3512209,"urban"
