"city_code","pop.1rooms","pop.2rooms","pop.3rooms","pop.4rooms","pop.5rooms","pop.6rooms","pop.7rooms","pop.8rooms","pop.9rooms","pop.10plusrooms","pop.room.avg"
1600709,6.92,14.82,16.13,21.85,24.47,10.36,2.96,0.9,1.21,0.39,3.9957
1600808,10.48,13.52,24.13,24.89,14.39,7.63,2.25,1.1,1.43,0.19,3.6652
1700251,0.76,3.66,11.65,23.97,24.26,14.6,12.01,4.89,2.3,1.9,5.107
1700301,1,8.1,10.38,24.33,25.68,13.83,8.99,3.69,2.12,1.89,4.8747
1700350,0.15,0.52,3.98,13.04,28.12,22.44,13.52,11.16,3.05,4.02,5.921
1700400,0.26,2.03,6.5,15.47,25.43,22.27,16.13,6.39,2.46,3.07,5.6334
1700707,0.51,2.41,4.66,10.53,25.55,22.74,15.08,9.32,4.5,4.7,5.9324
1701002,1.26,3.37,3.79,21.12,28.7,17.09,12.98,5.45,4.17,2.07,5.4258
1701051,0.86,1.39,5.54,29.34,25.52,17.72,10,5.17,2.75,1.71,5.2475
1701101,0,3.19,7.06,12.23,35.75,17.81,11.2,5.55,4.46,2.74,5.5243
1701309,0.67,1.73,10.94,27.01,25.48,15.9,10.78,4.25,2.79,0.46,5.0696
1701903,1.04,7.18,9.87,18.28,32.52,14.36,7.19,3.93,2.1,3.53,5.0286
1702000,0.39,2.22,5.91,8.63,27.83,22.88,12.73,7.89,6.59,4.93,5.9435
1702109,1.02,6.1,13.92,14.07,23.45,15.83,10.1,7.43,2.79,5.29,5.3164
1702158,1.08,1.71,6.79,36.77,27.28,11.51,9.27,2.35,2.38,0.87,4.9122
1702208,0.92,2.63,9.47,30.24,21.88,15.66,10.58,4.49,1.54,2.59,5.0865
1702307,0.72,2.38,6.23,15.78,28.21,19.44,12.3,7.78,3.4,3.76,5.6152
1702406,0.61,2.69,7.62,11.9,25.14,16.72,16.09,7.42,4.83,6.99,5.8783
1702554,1.33,2.33,7.96,22,27.74,15.24,12.62,5.52,2.03,3.23,5.3108
1702703,0,1.02,2.7,14.14,25.7,24.99,13.26,9.57,5.67,2.95,5.9505
1702901,0.16,2.18,7.13,28.5,21.36,17.69,9.82,5.91,5.16,2.07,5.3601
1703008,0.11,4.73,10.72,20.24,26.8,19.49,10.83,3.37,1.78,1.92,5.1162
1703057,0.28,4.3,5.66,13.95,23.21,20.49,15.14,9.57,4.38,3.02,5.7281
1703073,1.33,4.53,12.95,20.29,25.65,17.47,8.61,4.53,2.59,2.03,5.0359
1703107,0.26,0.39,5.16,18.56,25.88,21.86,12.58,6.88,3.76,4.66,5.7486
1703206,0,1.92,6.74,21.99,28.23,18.56,9.92,7.74,3.37,1.53,5.4152
1703305,1.46,7.67,12.03,21.98,22.38,15.35,7.52,3.4,3.25,4.95,5.034
1703602,0,2.2,7.39,19.52,25.74,18.24,9.82,9.99,4.97,2.14,5.5758
1703701,0,1.76,2.36,10.63,32.99,23.5,11.66,8.37,4.9,3.82,5.8995
1703800,0.98,1.9,11.56,25.35,30.45,13.28,8.89,3.22,2.61,1.75,5.0177
1703826,1.32,1.91,7.67,31.65,25.29,12.01,9.86,4.79,2.04,3.46,5.1356
1703842,1.89,6.64,15.63,28.47,22.16,11.24,7.61,3.23,1.31,1.82,4.6328
1703867,0,1.13,7.75,11.19,36.67,20.76,11.07,7.95,1.42,2.07,5.5275
1703883,0,1.08,3.91,28.13,31.57,13.63,9.61,5.75,3.84,2.48,5.3867
1703891,0.3,0.33,4.66,29.08,31.18,21.58,8.43,2.43,1.46,0.55,5.1373
1703909,0.46,3.38,22.25,20.89,20.91,14.54,7.84,5.17,2.54,2.01,4.8852
1704105,1.01,5.86,14.46,23.13,29.62,11.35,7.67,2.19,3.55,1.16,4.7959
1704600,0.4,1.39,2.09,8.93,44.41,16.4,11.58,9.06,3.81,1.93,5.7275
1705102,1.02,6.64,10.49,22.33,22.63,16.03,10.97,5.67,2.39,1.82,5.0628
1705508,1.47,5.67,9.29,15.43,22.58,16.35,11.02,7.72,4.03,6.45,5.5307
1705557,0.2,2.18,3.79,10.06,27.35,22.88,14.78,10.47,4.72,3.57,5.956
1705607,0,2.37,7.96,17.88,26.19,15.75,14.13,6.62,5.22,3.89,5.6334
1706001,0.17,3.26,7.97,28.63,32.83,12.19,7.3,4.14,1.76,1.76,5.0007
1706100,0.44,1.14,4.6,12.15,24.14,22.63,13.63,8.78,5.15,7.34,6.07
1706258,1.63,2.83,10.4,23.01,24.04,14.8,8.22,6,4.28,4.8,5.3159
1706506,0.98,4.19,11.02,30.57,24.61,15.59,7.56,3.79,1.28,0.41,4.8015
1707009,0.53,2.57,6.34,10.49,23.64,21.6,15.03,9.36,3.93,6.51,5.9501
1707108,1.09,2.7,6.02,13.51,26.65,21.36,12.87,8.16,4.78,2.84,5.6679
1707207,0.42,4.07,8.44,24.68,30.03,14.52,9.12,4.82,2.11,1.79,5.0916
1707306,0,2.92,9.55,17.52,23.29,18.09,14.8,8.41,2.49,2.94,5.5225
1707405,0.27,1.4,12.42,34.24,23.54,18.53,5.63,2.81,1.16,0,4.785
1707553,0,2.2,5.53,12.66,32.71,18.64,15.16,6.61,2.68,3.81,5.6824
1707652,0,0.36,4.91,13.25,30.64,21.19,13.92,9.13,3.78,2.83,5.8159
1707702,0.66,5.03,10.65,20.89,22.17,17.21,10.53,6.33,2.95,3.58,5.2704
1708205,0.62,4.58,7.13,15.93,21.55,22.49,14.25,6.82,3.36,3.27,5.5483
1708254,0.31,2.89,3.8,16.6,26.86,23,11.67,9.65,3.59,1.64,5.6379
1708304,0.62,1.06,6.14,14.97,37.01,16.92,10.59,4.82,4.18,3.68,5.5472
1709005,10.95,6.68,12.22,19.88,21.16,13.68,7.3,4.92,1.72,1.5,4.4931
1709302,0.73,2.16,7.29,11.12,27.69,16.78,14.35,7.23,4.25,8.4,5.9107
1709500,0.33,4.07,8.44,10.89,22.83,18.94,13.71,9.09,4.76,6.93,5.8597
1709807,0.4,1.85,3.3,24.53,17.98,21.56,16.06,9.91,4.08,0.33,5.631
1710508,1.85,8.15,7.17,14.9,21.9,17.16,12.02,5.97,5.37,5.51,5.4705
1710706,0.78,3.15,11.76,30.28,21.35,15.55,8.19,4.77,2.22,1.96,4.986
1710904,0.31,4.53,13.39,24.36,21.66,19.09,7.45,5.78,1.72,1.7,5.0069
1711100,0.69,1.02,3.63,22.03,23.72,17.96,16.67,6.33,4.85,3.1,5.7008
1711506,0.24,1.85,5.36,13.63,25.17,20.37,14.11,11.82,4.41,3.04,5.8603
