"city_code","pop.residPerHouse"
1715705,3.62
1715754,3.09
1716109,3.3
1716208,3.58
1716307,3.47
1716505,3.47
1716604,3.15
1716653,3.33
1716703,3.06
1717008,3.63
1717206,3.38
1717503,3.34
1717800,3.44
1717909,3.53
1718006,3.76
1718204,3.56
1718303,4.17
1718402,3.41
1718451,3.28
1718501,4.17
1718550,3.64
1718659,3.77
1718709,3.27
1718758,3.71
1718808,3.87
1718840,2.96
1718865,3.6
1718881,3.54
1718899,3.17
1718907,3.39
1719004,3.8
1720002,3.62
1720101,3.94
1720150,4.17
1720200,3.83
1720259,3.41
1720309,3.97
1720499,3.25
1720655,3.28
1720804,3.79
1720853,3.16
1720903,3.45
1720937,3.66
1720978,3.18
1721000,3.3
1721109,4.05
1721208,3.64
1721257,3.29
1721307,3.25
1722081,3.76
1722107,3.6
2100055,3.78
2100105,4.52
2100154,4.24
2100204,3.59
2100303,4.13
2100402,4.19
2100436,4.2
2100477,4.26
2100501,4.06
2100550,4.25
2100600,4.07
2100709,3.89
2100808,4.18
2100832,4.39
2100873,4.57
2100907,4.14
2100956,4.53
2101004,4.11
2101103,4.48
2101202,3.8
2101251,4.08
2101301,3.93
2101350,3.79
2101400,3.91
2101509,3.77
2101608,3.82
2101707,4.49
2101731,5.12
2101772,4.04
2101806,3.84
2101905,3.6
2101939,3.98
2101970,4.33
2102002,4.06
2102036,4.55
2102077,4.2
2102101,4.2
2102150,4.36
2102200,4.45
2102309,4
2102325,4.34
2102358,3.9
2102374,4.77
2102408,4.08
2102507,4.24
2102556,3.79
2102606,4.41
2102705,4.34
2102754,3.71
2102804,3.8
2102903,4.33
2103000,3.85
2103109,3.95
2103125,3.97
2103158,4.84
2103174,4.45
2103208,4.15
2103257,3.88
2103307,3.98
2103406,4.2
2103505,3.96
2103554,4.32
2103604,3.87
2103703,3.87
2103752,3.78
2103802,3.65
2103901,4.46
2104008,3.83
2104057,3.8
2104073,4.08
2104081,4.91
2104099,4.57
2104107,4.08
2104206,3.84
2104305,4.21
2104404,3.83
2104503,3.95
2104552,3.73
2104602,3.89
2104628,3.87
2104651,4.19
2104677,4.36
2104701,3.6
2104800,4.15
2104909,3.62
2105005,4.64
2105104,4.35
2105153,4.15
2105203,3.86
2105302,3.6
2105351,4.34
2105401,3.95
2105427,3.75
2105450,3.99
2105476,4.24
2105500,3.76
2105609,3.94
2105658,4.07
2105708,4.02
2105807,4.14
2105906,4.18
2105922,4.07
2105948,3.78
2105963,4.36
2105989,3.77
2106003,3.58
2106102,4.26
2106201,4.08
2106300,4.33
2106326,4.14
2106359,4.58
2106375,4.54
2106409,4.27
2106508,3.92
2106607,4.08
2106631,5.43
2106672,4.51
2106706,4.17
2106755,4.7
2106805,3.99
2106904,4.24
2107001,3.93
2107100,4.71
