"city_code","employed","employed.privateFormal","employed.publicFormal","employed.informal","employed.noWage","employed.subsistence","employed.owner","employed.self"
2413805,89.23,24.17,5.74,59.32,0,2.09,0.28,8.4
2413904,63.82,26.97,6.37,30.49,1.7,22.15,0.22,12.11
2414001,62.64,25.31,6.63,30.7,2.46,12.33,0.61,21.96
2414100,68.8,9.73,1.44,57.63,1.16,15.55,1.54,12.95
2414159,48.09,15.92,1.36,30.81,5.19,15.05,1.15,30.52
2414209,64.74,33.15,5.73,25.86,0.13,3.3,1.59,30.25
2414308,55.42,22.84,1.33,31.25,1.78,2.94,0.4,39.47
2414407,46.62,15.65,2.45,28.52,3.92,13.1,0.69,35.66
2414456,57.96,18.33,5.33,34.3,3.37,11.32,1.13,26.21
2414506,69.28,19.26,3.24,46.78,1.68,10.31,0.59,18.14
2414605,54.75,17.98,4.66,32.12,3.02,24.11,0,18.12
2414704,58.49,24.09,6.47,27.93,1.74,16.76,0.29,22.73
2414753,31.64,8.22,7.34,16.08,1.39,57.53,0,9.44
2414803,75.18,18.49,4.52,52.17,1.57,4.79,0.39,18.07
2414902,65.23,26.19,0.95,38.09,0.95,21.3,0.2,12.32
2415008,71.69,36.04,4.34,31.3,2.53,13.84,0,11.94
2500106,48.46,11.09,11.85,25.51,1.94,33,0.46,16.15
2500205,44.85,9.74,1.4,33.71,4.45,26.49,0.98,23.23
2500304,49.79,14.63,6.07,29.1,3.37,21.07,1.41,24.36
2500403,44.3,10.73,9.22,24.35,4.34,21.39,0.44,29.53
2500502,50.66,18.31,7.66,24.68,1.28,22.45,0.08,25.53
2500536,55.57,5.8,8.48,41.3,0.7,15.55,0,28.18
2500577,48.71,3.09,11.7,33.92,0,36.3,0,14.99
2500601,68.13,28.85,4.31,34.97,2.2,5.87,0.26,23.53
2500700,51.06,10.44,6.21,34.42,2.55,20.42,0.54,25.43
2500734,39.05,2.66,8.56,27.82,0.91,42.55,0.25,17.25
2500775,50.64,12.04,6.12,32.49,0.28,17.93,0.8,30.35
2500809,43.56,12.76,1.64,29.16,4.15,33.87,0.4,18.01
2500908,48.55,5.92,6.2,36.44,3.7,30.76,1.58,15.41
2501005,43.76,13.55,2.16,28.05,2.83,30.55,0.52,22.35
2501104,58.38,21.86,5.87,30.66,4.95,17.66,0.36,18.65
2501153,64.17,19.89,5.96,38.32,0.91,22.36,0,12.56
2501203,43.82,8.45,6.29,29.07,4.33,38.42,0.38,13.06
2501302,33.09,8.27,4.81,20.01,4.28,47.34,0.36,14.93
2501351,59.65,9.51,10.74,39.41,1.28,19.18,1.29,18.59
2501401,37.71,8.29,3.81,25.61,2.63,37.34,1.29,21.03
2501500,38.72,10.18,4.56,23.97,7.66,29.94,0.71,22.97
2501534,49.78,10.98,4.16,34.63,0.96,22.37,0.16,26.74
2501575,39.54,4.08,3.2,32.26,1.72,38.31,0.15,20.28
2501609,40.23,7.79,5.82,26.62,6.08,26.34,0.08,27.26
2501708,58.26,5.5,5.61,47.15,4.31,3.98,0.26,33.18
2501807,73.92,41.96,5.23,26.73,1.07,1.04,0.79,23.18
2501906,52.2,10.68,5.54,35.99,1.37,20.98,0.73,24.72
2502003,60.28,5.89,9.72,44.67,2.3,10.13,0.33,26.96
2502052,48.5,5.82,19.76,22.93,1.99,28.71,0,20.8
2502102,55.74,22.55,8.68,24.5,8.89,19.07,0.31,15.99
2502151,59.86,17.31,7.07,35.48,2.61,15.46,0.26,21.81
2502201,68.13,17.01,5.34,45.79,2.26,14.51,0.83,14.26
2502300,52.52,6.86,10.61,35.05,3.48,18.87,0.19,24.94
2502409,52.52,13.96,3.36,35.2,2.37,18.8,0.63,25.68
2502508,50.47,8.11,4.32,38.04,5.07,10.47,1.29,32.71
2502607,56.02,11.72,9.42,34.87,5.8,18.33,2.02,17.84
2502706,54.61,9.76,8.08,36.78,1.47,18.92,0,24.99
2502805,68.91,5.5,4.37,59.04,2.51,4.44,1.09,23.05
2502904,68.02,17.39,8.19,42.45,3.89,6.69,0.57,20.83
2503001,72.64,33.91,16.39,22.34,1.78,10.75,0.37,14.45
2503100,52.64,10.79,2.58,39.26,3.67,15.91,0.75,27.03
2503209,74.09,41.04,11.23,21.82,0.66,1.21,3.02,21.01
2503308,61.84,19.35,7.63,34.87,3.18,16.61,0,18.37
2503407,57.09,17.14,2.18,37.76,1.04,22.34,0.39,19.15
2503506,41.68,9.74,4.07,27.87,7.79,22.9,0.49,27.14
2503555,31.93,6.04,8.89,17,3.46,52,0.36,12.25
2503605,51.78,12.59,8.14,31.05,4.43,25.15,0.46,18.19
2503704,64.56,22.4,7.26,34.9,0.88,8.24,1.95,24.38
2503753,64.48,9.31,2.05,53.12,0.79,11.31,1.42,22
2503803,61.86,25.89,7.6,28.37,1.23,20.54,1.78,14.59
2503902,33.81,6.87,3.67,23.27,4.53,33.58,0.86,27.21
2504009,69.83,40.64,7.85,21.34,1.67,2.69,2.61,23.19
2504033,65.17,33.19,14.51,17.47,0.91,19.98,0,13.94
2504074,66.98,5.62,12.58,48.78,4.27,7.97,0,20.79
2504108,71.04,6.51,17.8,46.73,1.4,4.6,0.42,22.53
2504157,47.93,6.26,3.02,38.65,2.2,34.61,0.25,15.01
2504207,61.39,20.7,7.75,32.94,1.42,26.18,0.27,10.74
2504306,66.1,29.85,3.86,32.4,1.75,4.75,0.94,26.45
2504355,50.65,18.59,3.14,28.91,2.45,8.19,0,38.71
2504405,45.87,10.95,6.06,28.85,2.13,18.15,0.18,33.67
2504504,54.33,8.81,8.18,37.34,2.03,19.47,0.33,23.84
2504603,67.27,31.46,5.95,29.86,2.07,8.15,1.23,21.29
2504702,53.93,10.43,5.16,38.34,4.58,13.64,0.9,26.95
2504801,52.38,9.73,2.79,39.86,5.01,11.34,0.77,30.5
2504850,47.6,4.77,10.36,32.48,2.21,39.34,0,10.85
2504900,68.15,34,2.63,31.52,1.58,17.62,0.3,12.35
2505006,53.63,13.77,2.64,37.22,2.56,24.24,0,19.57
2505105,42.61,10.46,5.09,27.06,5.34,23.98,0.77,27.3
2505204,61.56,19.87,9.43,32.26,2.07,12.12,0.69,23.56
2505238,60.82,10.86,3.76,46.2,0.18,28.84,0.76,9.4
2505279,53.11,4.42,6.24,42.45,0.38,34.38,0.16,11.97
2505303,74.97,26.92,8.64,39.42,0.33,11.31,0,13.38
2505352,33.73,4.11,4.16,25.46,5.14,48.48,0.26,12.39
2505402,47.74,5.93,7.85,33.96,4.07,31.28,0.5,16.42
2505501,54.7,3.01,14.34,37.35,2.65,27.51,0.88,14.26
2505600,50.78,15.42,12.03,23.33,2.51,25.8,1.73,19.18
2505709,37.49,5.92,6.44,25.13,1.64,41.93,0.35,18.59
2505808,63.46,12.11,10.6,40.75,6.14,18.16,0.8,11.44
2505907,70.05,9.16,19.39,41.5,0.15,12.31,0,17.49
2506004,50.77,22.01,4.52,24.24,2.16,21.26,0.82,25
2506103,38.25,13.37,2.18,22.7,2.24,43.62,0.19,15.71
2506202,54.86,11.33,3.75,39.78,0,16.84,0.56,27.74
2506251,29.52,4.79,5.8,18.94,3.54,55.23,0,11.7
2506301,65.05,32.77,8.08,24.2,1.55,5.11,2.64,25.65
2506400,55.53,22.26,9.73,23.53,1.44,26.87,0.31,15.85
2506509,40.52,4.89,11.96,23.66,2.18,43.8,0.64,12.86
2506608,47.84,8.2,14.82,24.82,0.3,23.97,0.61,27.28
2506707,40.46,9.77,11.47,19.22,0.46,42.51,0.1,16.47
2506806,47.14,19.08,6.39,21.67,3.34,30.64,0.45,18.43
2506905,53.88,20.23,5.04,28.61,2.01,12.83,0.74,30.54
2507002,66.05,23.26,9.19,33.6,3.9,6.56,0.8,22.7
2507101,49.88,10.65,5.9,33.33,3.77,18.95,0.51,26.9
2507200,53.57,22.31,3.87,27.39,2.25,23.62,0.8,19.76
2507309,41.62,7.11,6.48,28.03,4.42,29.09,0.33,24.54
2507408,56.87,15.29,7.03,34.55,1.63,14.12,3.57,23.82
2507507,77.81,44.88,11.55,21.37,1.32,0.27,2.15,18.45
2507606,53.54,18.91,4.25,30.37,0.2,32.92,0.18,13.16
2507705,44.93,16.77,5.34,22.82,8.54,32.07,0.49,13.98
2507804,59.64,18.72,1.37,39.55,2.78,14.52,0.55,22.52
2507903,64.42,30.47,4.12,29.83,2.44,10.51,1.74,20.89
2508000,55.83,18.01,11.5,26.33,4.2,16.97,0,23
2508109,46.77,12.52,8.09,26.16,1.07,28.25,0,23.91
2508208,41.12,11.98,3.12,26.02,5.27,32.79,0.55,20.27
2508307,51.83,19.49,6.44,25.9,2.81,15.22,1.26,28.88
2508406,55.69,15.73,2.41,37.55,4.28,23.84,0,16.19
2508505,29.15,9.64,1.86,17.65,11.98,40.9,0.39,17.59
2508554,56.88,11.6,12.97,32.31,2.58,20.85,0.19,19.5
2508604,64.19,29.47,10.18,24.54,1.83,5.39,1.55,27.04
2508703,40.8,3.68,7.81,29.31,1.76,44.73,0.7,12.01
2508802,67.76,9.3,7.73,50.73,2.43,11.5,0.32,17.98
2508901,64.48,34,5.32,25.17,2.76,8.46,1.49,22.8
2509008,46.93,13.27,1.86,31.8,6.13,26.28,0.4,20.26
2509057,43.53,9.56,2.15,31.81,1.49,30.23,0,24.75
2509107,59.31,17.39,3.13,38.79,5.79,6.57,0.94,27.38
2509156,66.17,11.15,10.42,44.6,1.83,10.85,0.58,20.56
2509206,49.66,26.29,2.77,20.59,1.34,31.75,0.1,17.15
2509305,72.91,45.83,1.45,25.62,1.24,13.96,0.82,11.08
2509339,34.04,5.06,12.07,16.92,2,20.42,0.84,42.7
2509370,57.95,13.99,7.06,36.9,2.43,28.01,0,11.61
2509396,44,9.79,6.17,28.04,4.19,33.85,0.15,17.82
2509404,52.72,22.53,4.74,25.45,1.44,31.72,0.21,13.91
2509503,38.46,8.82,2.6,27.04,12.04,36,0.28,13.22
2509602,47.12,15.33,12.39,19.4,3.8,20.8,0.48,27.8
2509701,52.61,11.81,5.53,35.27,3.68,15.59,1.1,27.02
2509800,55.83,25.46,3.67,26.69,1.66,24.37,0.98,17.16
2509909,43.73,8.55,5.24,29.93,3.08,37.88,0.95,14.36
2510006,53.47,9.07,6.58,37.82,3.81,20.57,0,22.15
2510105,53.54,14.7,1.98,36.86,3.86,14.42,1.32,26.87
2510204,55.52,19,5.21,31.31,4.26,23.71,0,16.51
2510303,49.76,9.7,3.81,36.24,4.73,18.21,1.4,25.91
2510402,46.81,7.24,11.94,27.63,1.42,26.31,0.85,24.61
2510501,62.13,11.79,16.53,33.81,2.75,13.81,0.35,20.95
2510600,51.34,10.93,5.17,35.23,4.27,22.92,0.33,21.14
2510659,62.58,15.08,10.4,37.11,5.41,14.59,0,17.42
2510709,69.79,16.85,27.56,25.38,0,13.29,0,16.92
2510808,68.97,24.73,7.53,36.71,1.75,0.96,2.41,25.91
2510907,59.74,6.65,4.92,48.17,3,7.33,0.78,29.15
2511004,68.01,18,12.74,37.27,1.49,4.14,0,26.36
2511103,43.22,6.77,10.69,25.76,3.21,34.89,0.57,18.12
2511202,57,23.12,8.7,25.19,2.39,10.67,0.68,29.25
2511301,59.07,10.83,9.97,38.26,2.95,7.78,0.56,29.65
2511400,53.51,17.35,3.16,33.01,3.98,16.86,1.2,24.44
2511509,60.07,22.55,7.04,30.48,1.61,23.02,0.8,14.5
2511608,46.22,10.87,7.95,27.4,0.34,37.51,0.32,15.61
2511707,41.38,12.89,2.73,25.76,2.31,26.96,0,29.35
2511806,57.84,15.49,9.31,33.05,3.21,15.83,0.45,22.67
2511905,51.01,14.55,2.8,33.66,7.97,6.57,0.62,33.83
2512002,48.48,14.13,3.92,30.44,3.64,27.73,0.32,19.83
2512036,47.89,8.09,8.33,31.47,0.19,39.76,0,12.16
2512077,56.56,7.71,14.31,34.54,0,16.17,0.2,27.07
2512101,59.58,13.89,5.52,40.17,1.55,6.1,1.14,31.63
2512200,48.79,4.67,12.57,31.55,7.48,19.31,0.58,23.83
2512309,63.33,16.87,7.6,38.86,3.96,11.66,0.74,20.32
2512408,47.49,23.03,1.73,22.73,8.23,28.97,0.08,15.23
2512507,54.66,31.86,2.91,19.89,3.77,18.11,0.4,23.06
2512606,53.22,11.35,6.5,35.37,1.66,11.53,0,33.59
2512705,44.8,9.53,10.83,24.43,2.3,29.08,1.2,22.62
2512721,48.87,5.53,11.92,31.42,3.5,31.01,0,16.62
2512747,66.57,13.03,2.33,51.21,0.54,24.54,0,8.35
2512754,50.73,15.17,16.99,18.58,0.2,37.05,0.21,11.8
2512762,37.16,5.27,6.71,25.19,2.76,42.62,0,17.46
2512788,57.43,5.67,12.72,39.04,1.25,22.09,1.08,18.15
2512804,53.91,8.5,3.47,41.94,7.79,10.06,0.75,27.49
2512903,55.01,31.87,3.71,19.42,2.86,21.59,0.85,19.7
2513000,52.8,12.45,6.28,34.07,7.14,24.4,0,15.66
2513109,40.54,10.57,3.29,26.68,1.35,38.05,0.09,19.97
2513158,34.72,3.12,6.27,25.32,5.22,40.37,0,19.7
2513208,54.7,9.74,16.94,28.02,2.67,23.69,1.74,17.21
2513307,44.64,5.66,10.04,28.94,2.18,30.88,0.36,21.95
2513356,35.18,3.68,17.47,14.04,8.07,21.12,0.56,35.08
2513406,67.16,19.05,10.46,37.64,0.92,4.58,1.23,26.11
2513505,45.02,10.55,8.98,25.49,1.8,39.62,0.2,13.36
2513604,52.93,13.47,6.93,32.52,2.43,21.5,0,23.14
2513653,65.29,6.1,13.01,46.18,1.11,23.66,0.29,9.64
2513703,75.07,45.96,3.74,25.37,1.16,1.81,0.54,21.41
2513802,59.99,12.16,14.5,33.33,1.3,12.41,0,26.3
2513851,36.37,1.29,6.26,28.81,3.43,52.94,0.24,7.01
2513901,72.2,8.72,2.1,61.38,0.96,1.04,0.88,24.91
2513927,63.67,5.78,8.29,49.6,2.76,7.16,0.97,25.44
2513943,62.19,8.39,2.6,51.2,0.15,23.74,0.09,13.82
2513968,53.58,3.31,5.21,45.06,0.51,25.66,0.21,20.04
2513984,54.58,9.72,7.53,37.33,2.83,15.65,0.22,26.72
2514008,54.14,12.72,4.85,36.57,4.23,24.3,0.7,16.63
2514107,40.86,6.54,4.54,29.78,0.52,25.49,0.19,32.94
2514206,44.3,6.73,6.46,31.1,3.44,34.49,0.24,17.53
2514305,64.73,25.05,4.42,35.27,5.82,13.78,0,15.67
2514404,66.07,8.46,10.26,47.35,1.62,18.72,0.66,12.94
2514453,52.08,9.91,9.72,32.44,1.59,33.74,0.57,12.03
2514503,59.03,17.98,7.15,33.9,2.47,14.05,1.1,23.35
2514552,45.69,16,1.76,27.92,2.16,28.54,0,23.61
2514602,60.23,16.18,8.29,35.76,0.61,15.69,0,23.48
2514651,63.3,4.77,21.65,36.88,10.06,11.8,0.38,14.46
2514701,56.54,10.73,9.04,36.78,3.79,14.51,0.71,24.44
2514800,27.8,7.18,1.83,18.8,5.93,44.16,0,22.11
2514909,63.48,11.74,9.48,42.27,3.02,10.05,2.35,21.1
2515005,42.16,13.08,5.88,23.2,3.24,42.2,0,12.4
2515104,39.85,11.85,4.64,23.36,4.2,35.44,0.38,20.14
2515203,38.94,2.88,7.5,28.56,6.25,15.5,0.34,38.96
2515302,58.35,25.48,3.83,29.03,1.28,13.55,0.85,25.97
2515401,42.24,17.04,3.4,21.79,4.72,38.78,0.14,14.11
2515500,48.58,12.67,2.95,32.96,2.39,18.24,1.07,29.72
2515609,59.91,14.74,13.82,31.35,2.68,22.83,0.82,13.77
2515708,51.03,11.82,7.34,31.87,2,34.69,0.3,11.98
2515807,40.7,21.33,1.79,17.58,4.65,30.6,0.56,23.5
2515906,40.13,8.84,7.4,23.89,6.94,35.71,0,17.22
2515930,51.56,12.76,8.46,30.34,2.33,28.01,0.73,17.37
2515971,36.8,11.05,7.01,18.74,2.1,37.52,0.12,23.46
2516003,47.42,11.64,6.02,29.76,3.09,20.43,0.82,28.24
2516102,53.29,17.65,5.03,30.61,2.58,13.43,1.21,29.49
2516151,42.38,15.4,0.64,26.35,0.74,43.31,0,13.57
2516201,64.43,22.48,7.08,34.87,2.49,3.23,1.63,28.22
2516300,52.51,9.8,8.35,34.37,3.26,15.75,0.79,27.69
2516409,49.28,16.08,0.84,32.36,0.7,24.53,0.36,25.14
2516508,45.72,11.52,8.29,25.9,1.44,27.76,0,25.08
2516607,53.44,20.94,4.93,27.57,6.43,23.67,0.51,15.94
2516706,53.1,9.86,9.79,33.45,3.64,21.12,0.66,21.48
2516755,56.65,8.75,20.47,27.43,4.23,16.23,0.71,22.18
2516805,56.16,10.6,9.68,35.88,3.49,21.48,2.22,16.65
2516904,58.55,13.36,7.03,38.16,2.42,16.75,1.97,20.32
2517001,34.68,7.65,4.91,22.11,2.99,40.89,0.14,21.3
2517100,57.42,15.41,8.39,33.62,5.93,11.3,1.17,24.17
2517209,52.28,8.42,11.28,32.58,1.67,30.18,0.75,15.13
2517407,57.17,2.76,10.34,44.07,2.04,10.74,0,30.05
2600054,75.96,50.9,3.81,21.25,1.65,1.77,0.76,19.86
2600104,55.06,20.72,6.4,27.94,2.63,15.48,1.25,25.58
2600203,54.89,13.46,3.98,37.45,3.27,27.1,0.24,14.51
2600302,48.6,15.42,2.37,30.81,3.53,12.23,0.16,35.47
2600401,68.04,38.92,3.37,25.75,2.88,12.98,0.37,15.72
2600500,35.83,7.88,4.89,23.06,4.86,29.04,0.76,29.51
2600609,46.26,8.19,5.92,32.15,3.19,18.47,0.43,31.64
2600708,76.71,47.9,4.81,24,1.23,7.79,0.61,13.66
2600807,43.39,13.07,1.67,28.65,1.98,26.14,0.47,28.02
2600906,65.97,28.75,6.99,30.22,2.22,4.72,1.05,26.05
2601003,37.34,8.43,5.24,23.66,1.45,36.76,0.78,23.67
2601052,77.46,50.95,3.67,22.83,0.94,4.2,0.5,16.91
2601102,55.99,16.5,6.05,33.44,3.01,9.57,0.93,30.5
2601201,65.49,27.96,9.18,28.35,2.18,5.2,2.26,24.87
2601300,70.49,21.74,5.65,43.11,1.01,5.22,0.13,23.16
2601409,70.47,40.93,4.98,24.55,1.62,6.28,0.62,21.02
2601508,48.34,8.84,3.33,36.18,3.23,9.1,0.83,38.5
2601607,55.07,10.2,8.77,36.1,5.09,13.19,2.19,24.46
2601706,60.83,27.15,4.78,28.91,2.37,8.22,1.93,26.65
2601805,53.32,15.39,0.99,36.94,1.15,29.8,0.1,15.62
2601904,55.72,19.3,3.17,33.25,3.36,10.63,1.31,28.97
2602001,49.99,8.43,5,36.56,6.64,17.01,0.18,26.19
2602100,44.04,11.25,4.01,28.78,5.05,26.22,2.28,22.41
2602209,37.71,17.32,2.85,17.53,4.28,39.13,0.56,18.32
2602308,63.58,15.67,7.45,40.46,2.44,11.2,1.5,21.29
2602407,49.36,12.35,4.8,32.21,3.37,26.53,0,20.75
2602506,51.57,17.04,4.37,30.15,7.53,24.26,0.83,15.81
2602605,57.84,10.02,3.17,44.65,1.21,6.97,1.14,32.84
2602704,59.59,29.86,5.42,24.31,2.41,19.06,0.32,18.62
2602803,38.48,7.98,2.34,28.17,4.72,30.14,0.28,26.38
2602902,80.99,60.33,2.33,18.33,1.15,1.67,0.86,15.33
2603009,53.28,11.17,4.81,37.31,5.85,10.15,1.9,28.82
2603108,50.2,10.36,3.48,36.36,1.82,9.3,0.79,37.89
2603207,26.33,4.83,2.93,18.57,1.96,47.89,0.65,23.17
2603306,28.44,3.02,4.16,21.26,4.68,28.11,0,38.77
2603405,52.77,11.31,12.22,29.24,2.56,25.29,1.67,17.7
2603454,79.51,52.67,4.78,22.06,0.6,0.78,0.87,18.23
2603504,62.46,13.43,4.51,44.52,1.75,4.79,1.37,29.63
2603603,65.1,22.74,12.95,29.41,0.27,18.26,0.3,16.08
2603702,45.8,14.73,4.84,26.23,2.23,24.54,0.58,26.86
2603801,29.2,5.54,2.97,20.7,5,43.02,0.1,22.68
2603900,42.31,10.82,7.01,24.47,4.43,29.56,0.14,23.56
2603926,43.27,4.41,5.02,33.84,3.18,45.11,0.39,8.06
2604007,74.89,40.84,5.41,28.64,0.79,2.72,1.5,20.09
2604106,61.3,33.53,3.53,24.24,1.08,1.75,1.95,33.92
2604155,46.27,20.22,2.54,23.52,1.02,45.63,0.14,6.93
2604205,67.91,32.75,8.02,27.13,1.42,4.9,1.64,24.13
2604304,64.79,13.08,6.63,45.08,1.4,12.49,0.23,21.09
2604403,70.17,34.11,10.01,26.04,2.81,7.89,0.14,18.99
2604502,59.48,14.37,5.71,39.4,3.16,4.81,1,31.54
2604601,74.29,37.61,5.91,30.78,0.83,6.09,1.25,17.53
2604700,42.62,10,8.66,23.96,5.88,22.98,1.41,27.11
2604809,82.09,43.78,7.21,31.1,0.62,4.74,0,12.55
2604908,38.47,13.2,4.25,21.02,2.37,38.09,0.42,20.65
2605004,51.65,11.2,2.17,38.28,1.35,11.77,4.09,31.14
2605103,59.11,26.58,6.36,26.17,3.51,13.32,0.52,23.54
2605152,33.44,8.88,5.03,19.54,10.6,16.53,1.44,37.98
2605202,81.56,60.51,3.41,17.64,0.83,3.17,1.23,13.21
2605301,51.9,6.6,6.94,38.36,4.94,15.99,0.46,26.71
2605400,61.7,16.07,5.24,40.39,1.29,14.94,0.11,21.97
2605459,69.23,39.07,8.33,21.83,0.45,1.2,6.66,22.47
2605509,62.65,30.66,7.41,24.58,0.9,22.56,0.37,13.52
2605608,46.47,16.13,3.05,27.29,4.47,28.99,0,20.07
2605707,59.66,16.85,6.59,36.23,3.2,17.56,0.55,19.02
2605806,48.39,9.36,5.24,33.8,1.95,30.37,0.89,18.4
2605905,77.37,52.14,3.34,21.88,0.82,3.7,0.55,17.57
2606002,64.99,29.88,9.01,26.1,1.04,7.05,1.48,25.45
2606101,44.4,13.58,4.08,26.74,3.64,24.26,0.27,27.42
2606200,71.31,41.54,5.85,23.92,1.52,3.27,0.9,23
2606309,68.18,10.29,16.51,41.39,1.92,15.71,0.29,13.9
2606408,63.96,23.75,4.27,35.95,1.67,5.86,1.98,26.53
2606507,34.86,6.82,3.77,24.27,6.51,34.9,0,23.73
2606606,49.39,10.41,4.5,34.49,3.08,16.41,0.82,30.31
2606705,37.2,4.76,5.09,27.34,3.35,16.31,0.18,42.96
2606804,77.34,52.25,3.28,21.81,0.84,1.89,1.14,18.79
2606903,55.6,7.75,4.46,43.4,4.86,13.37,0.63,25.54
2607000,31.66,5.66,2.84,23.17,2.88,16.81,0.74,47.91
2607109,47.77,6.66,11.66,29.46,2.51,26.31,0.32,23.08
2607208,80.44,54.15,3.38,22.91,0.82,2.64,0.82,15.28
2607307,48.84,10.29,3.02,35.52,5.61,13.76,0.89,30.91
2607406,67.46,12.9,2.76,51.81,3.08,8.74,0,20.71
2607505,32.11,5.72,1.7,24.7,7.46,25.56,0.24,34.63
2607604,63.26,23.26,6.62,33.38,1.32,4.25,0.72,30.45
2607653,70.07,34.78,5.98,29.32,1.47,7.05,1.92,19.49
2607703,47.54,11.67,3.56,32.31,3.79,34.11,1.46,13.09
2607752,65.91,34.49,7.14,24.28,2.04,4,0.42,27.63
2607802,74.69,40.29,13.03,21.37,2.13,10.14,0.19,12.85
2607901,77.45,52.93,3.55,20.97,1.15,0.44,1.27,19.69
2607950,75.59,35.74,12.34,27.51,2.04,8.91,0.88,12.58
2608008,46.3,7,1.99,37.31,2.19,20.77,0.06,30.69
2608057,56.09,29.67,7.13,19.29,5.86,24.66,0.21,13.19
2608107,49.12,20.99,2.21,25.93,4.07,21.28,0.86,24.67
2608206,75.29,42.35,8.01,24.93,3.92,5.87,0.79,14.13
2608255,33.88,2.87,0.84,30.17,12.07,18.78,0.17,35.1
2608305,38.2,5.66,4.8,27.74,4.86,22.05,0.21,34.67
2608404,33.25,3.39,2.69,27.17,5.89,32,0.2,28.65
2608453,63.64,31.04,6.6,26,1.19,12.72,0.26,22.19
2608503,63.56,29.36,5.97,28.23,2.57,20.69,0.52,12.66
2608602,43.73,5.79,4.24,33.7,8.09,20.37,0.1,27.71
2608701,40.69,6.95,2.25,31.49,10.99,12.47,0.96,34.9
2608750,63.77,28.26,5.83,29.69,2.67,9.81,1.76,21.99
2608800,47.99,14.47,3.82,29.69,1.83,9.66,0.98,39.55
2608909,61.74,28.5,5.03,28.21,2,11.41,1.01,23.84
2609006,66.98,24.72,6.88,35.38,2,8.92,1.6,20.5
2609105,65.57,19.39,3.35,42.84,1.1,9.78,0.76,22.79
2609154,13.39,2.94,1.38,9.07,9.74,49.61,0.13,27.13
2609204,72.97,28.62,3.96,40.39,3.81,7.97,0.3,14.95
2609303,42.77,9.59,11.45,21.73,1.08,31.11,0.24,24.81
2609402,77.34,46.01,3.37,27.96,0.88,3.06,0.66,18.06
2609501,83.06,51.49,5.79,25.79,0.19,2.95,0.47,13.33
2609600,76.83,50.5,6.24,20.09,0.76,0.18,1.52,20.71
2609709,38.94,12.79,3.47,22.69,0.22,39.4,0.93,20.51
2609808,41.56,5.86,3.06,32.64,4.31,7.79,0.53,45.81
2609907,53.69,16.69,5.38,31.62,4.62,11.77,1.88,28.03
2610004,71.6,38.17,4.78,28.65,0.69,4.39,0.9,22.43
2610103,55.05,11.92,7.36,35.77,1.28,18.03,0.59,25.04
2610202,36.54,6.09,4.91,25.54,5.36,36.14,0.27,21.69
2610301,27.04,5.72,9.81,11.5,4.33,41.54,0.43,26.66
2610400,53.64,14.4,6.81,32.43,2.33,21.75,0.24,22.04
2610509,49.9,14.64,4.07,31.2,2.53,20.9,0.78,25.88
2610608,79.27,50.44,2.9,25.94,0.5,5.72,0.54,13.97
2610707,78.14,52.53,6.35,19.25,1.07,0.3,0.93,19.56
2610806,53.17,7.41,7.69,38.08,2.64,18.76,0.56,24.86
2610905,51.68,18.39,3.71,29.58,2.64,11.43,1.35,32.91
2611002,60.52,21.66,5.96,32.9,6.06,10.08,0.96,22.38
2611101,72.15,42.71,5.6,23.83,1.84,2.31,1.81,21.89
2611200,43.64,7.11,5.62,30.91,1.18,9.43,0.19,45.56
2611309,51.32,20.2,4.08,27.04,0.91,11.78,1.16,34.83
2611408,68.58,35.86,3.8,28.92,1.57,4.61,0.7,24.53
2611507,58.82,23.07,7.61,28.14,1.81,15.87,0.71,22.78
2611533,42.84,18.55,2.21,22.08,3.22,40.01,0,13.93
2611606,76.09,50.5,7.3,18.28,1.14,0.07,2.73,19.97
2611705,49.55,8.84,3.85,36.86,0.84,15.78,2.42,31.42
2611804,74.73,43.03,5.98,25.72,1.51,2.28,1.79,19.69
2611903,74.76,54.86,5.92,13.97,0.84,6.02,0.29,18.09
2612000,60.25,15.26,6.06,38.93,4.03,9.08,0.35,26.29
2612109,49.62,25.48,4.07,20.07,0,28.49,0,21.9
2612208,67.01,33.94,6.99,26.07,2.4,8.98,1.01,20.6
2612307,41.3,5.71,6.63,28.96,4.35,28.48,0.98,24.89
2612406,57.83,13.24,5.03,39.55,1.49,14.07,1.31,25.3
2612455,37.31,3.22,8.72,25.37,6.23,34.84,0.65,20.97
2612471,41.01,12.59,3.54,24.88,5.19,28.09,0.29,25.43
2612505,56.92,15.5,1.14,40.28,1.74,0.79,2.6,37.95
2612554,39.48,4.82,9.29,25.38,3.89,34.58,0,22.05
2612604,42.25,9.89,5.78,26.57,2.94,16.14,0.57,38.1
2612703,51.38,7.33,4.32,39.73,2.63,23.8,0.53,21.65
2612802,45.96,9.19,11.56,25.21,3.91,26.44,0.14,23.56
2612901,69.1,25.63,6.87,36.6,0.66,8.92,0.14,21.18
2613008,45.25,16.25,1.88,27.11,5.39,15.64,0.6,33.11
2613107,54.72,23.25,2.92,28.55,8.44,13.06,0.59,23.19
2613206,34.68,5.83,2.56,26.29,7.24,13.91,0.39,43.79
2613305,49.28,9.07,3.43,36.78,2.31,18.46,0,29.95
2613404,65.01,30.35,8.49,26.18,1.45,7.05,1.34,25.15
