"city_code","employed","employed.privateFormal","employed.publicFormal","employed.informal","employed.noWage","employed.subsistence","employed.owner","employed.self"
1300805,33.81,5.34,4.47,24.01,4.38,29.43,0.4,31.98
1300839,43.41,7.15,5.8,30.46,1.09,15.31,0.25,39.94
1300904,37.92,5.77,12.09,20.06,0.32,39.52,0.11,22.13
1301001,50.76,15.13,4.85,30.78,0.77,21.81,0.7,25.96
1301100,39.77,9.12,10.78,19.87,4.97,20.38,0.14,34.75
1301159,28.38,4.32,1.68,22.38,3.63,19.14,0.49,48.37
1301209,50.77,15.29,8.32,27.16,1.57,11.69,0.63,35.33
1301308,32.48,5.6,5.14,21.74,1.53,17.64,0.39,47.96
1301407,47.83,7.06,6.37,34.39,5.22,19.75,0.5,26.7
1301506,56.8,4.99,5.91,45.9,1.87,24.87,0.94,15.52
1301605,40.84,4.48,5.4,30.97,5.49,27.52,0.65,25.49
1301654,46.3,9.94,8.19,28.16,0.92,42.58,0.37,9.84
1301704,50.74,16.05,11.51,23.19,2.15,16.47,1.38,29.26
1301803,42.7,3.26,2.76,36.69,2.1,28.93,0.32,25.94
1301852,49.95,17.48,7.93,24.54,3,12.1,0.41,34.54
1301902,53.82,20.99,5.98,26.84,1.5,13.19,0.5,31
1301951,39.86,3.59,10.34,25.93,1.7,36.67,0.45,21.33
1302009,50.72,5.65,10.01,35.06,5.74,13.59,0.96,28.99
1302108,50.27,2.81,2.11,45.34,1.18,12.43,0.28,35.84
1302207,32.34,1.48,0.75,30.11,1.52,25.56,0.09,40.49
1302306,25.87,1.04,0.55,24.28,6.4,35.04,0,32.69
1302405,40.24,9.02,2.53,28.7,2,25.82,0.74,31.21
1302504,46.23,13.74,4.65,27.84,4.85,8.42,0.87,39.63
1302553,24.16,4.19,4.6,15.37,3.74,22.66,0.27,49.17
1302603,76.2,49.67,6.86,19.67,1.62,0.55,1.28,20.35
1302702,34.98,6.04,4.7,24.24,5.4,14.99,0.54,44.09
1302801,32.3,3.99,4.82,23.49,1.74,42.5,0.22,23.25
1302900,32.36,8,5.71,18.65,3.58,27.41,0.71,35.94
1303007,30.25,3.88,4.09,22.28,7.84,16.28,0.61,45.02
1303106,31.86,7.34,4.13,20.38,12.7,26.42,0.44,28.59
1303205,47.03,9.62,12.32,25.09,0.51,25.91,0.38,26.16
1303304,40.73,5.4,11.46,23.88,3.28,29.67,0.43,25.89
1303403,50.58,14.82,4.16,31.59,3.53,10.9,1.15,33.84
1303502,32.35,2.83,3.06,26.46,5.61,45.57,1.03,15.43
1303536,58.94,26.65,10.77,21.53,3.05,6.37,0.54,31.09
1303569,57.1,12.07,7.89,37.14,5.96,13.23,0.54,23.17
1303601,38.46,2.1,8.86,27.51,1.03,29.17,0.14,31.2
1303700,26.71,6.05,2.42,18.25,8.28,45.79,0.7,18.52
1303809,54.44,10.2,15.3,28.93,1.61,30.21,0.51,13.24
1303908,19.56,3.59,4,11.97,8.96,48.68,0.63,22.17
1303957,39.8,6.55,4.62,28.63,2.66,27.11,0.09,30.33
1304005,39.25,8.62,4.36,26.27,0.13,22.28,0.18,38.16
1304062,49.33,12.39,11.67,25.27,3.83,19.58,1.07,26.2
1304104,30.26,3.01,8.39,18.86,3.09,35.25,0.72,30.68
1304203,53.73,15.89,11.11,26.72,1.57,11.77,1.17,31.77
1304237,39.73,7.98,8.65,23.1,3.71,25.1,1.2,30.26
1304260,30.32,1.59,3.03,25.7,4.22,21.57,0.2,43.7
1304302,44.59,6.82,10.42,27.36,4.39,18.62,0.89,31.51
1304401,33.72,4.08,4.69,24.96,2.23,26.23,0.54,37.28
1400027,62.87,12.96,4.78,45.13,2.72,23.91,0,10.49
1400050,43.51,10.17,8.07,25.27,1.39,39.39,0.37,15.35
1400100,75.49,32.57,18.74,24.17,1.45,1.63,1.63,19.8
1400159,45.63,8.38,8.32,28.94,3.68,23.79,0.13,26.76
1400175,45.11,10.14,12.02,22.95,1.18,18.67,0.87,34.17
1400209,52.72,15.05,10.35,27.32,1.44,12.47,0.72,32.65
1400233,44.87,11.96,3.47,29.43,4.66,12.34,0.09,38.04
1400282,56.92,13.14,5.18,38.6,5.34,17.04,0,20.7
1400308,57.66,18.66,10.46,28.54,0.63,16.36,0.64,24.71
1400407,54.77,14.05,13.74,26.98,4.39,28.01,0.66,12.18
1400456,50.46,12.65,12.14,25.67,4.17,27.04,0.52,17.82
1400472,52.15,14.86,7.12,30.17,3,24.45,1.2,19.2
1400506,48.27,13.47,11.13,23.67,4.92,8.94,0.42,37.45
1400605,67.24,19.32,11.76,36.15,1.15,6.48,0.73,24.4
1400704,17.29,4.95,1.31,11.03,7.88,68.99,0.12,5.72
1500107,49.42,16.74,7.72,24.96,2.19,10.64,0.78,36.98
1500131,74.66,12.4,10.45,51.81,0.37,2.23,1.78,20.97
1500206,28.92,6.3,4.35,18.28,7.8,16.03,0.85,46.4
1500305,36.99,5.18,8.02,23.78,1.83,20.06,0.28,40.85
1500347,62.97,25.85,1.03,36.09,5.1,10.95,0.76,20.23
1500404,34.68,5.99,4.44,24.25,3.07,21.03,0.92,40.3
1500503,50.09,22.49,9.88,17.72,3.31,13.08,0.44,33.08
1500602,65.63,23.22,7.98,34.42,2.38,5.36,1.9,24.73
1500701,34.9,3.5,8.07,23.33,4.41,14.69,1.46,44.54
1500800,71.01,40.98,6.3,23.73,1.58,0.51,0.99,25.91
