"city_code","companies.2018.per100Khab","companies.growth.2016to18","salary.2018","salary.growth.2016to18","workers.2018.pct","workers.growth.2016to18"
1100015,2214.35662796219,58.4054762174303,1.8,-0.0266714732154247,0.141192213061683,0.00496449044050959
1100023,2267.16147991862,14.5583028512037,2,0.025978352085154,0.187306909803331,3.80208909377816e-05
1100031,1415.96175064362,167.354384623765,1.8,0,0.111621919823465,0.00643904068769027
1100049,2522.01903010152,138.986687689788,2,0,0.235129048612831,0.0105342433455268
1100056,2292.62953052785,-14.6630174633974,2,0.025978352085154,0.150936511797616,0.007396536983501
1100064,1867.25827324829,155.690406005549,1.8,0,0.147963271091391,0.0101370086880314
1100072,1440.46517774547,120.164009606535,1.9,-0.0253205655191037,0.113651380996432,0.0115633748049939
1100080,1058.52702324279,-451.301340706713,1.8,0,0.0557826939232708,-0.00358067464602123
1100098,1915.93596904546,-21.794793662643,1.9,0.0274023338281628,0.165413299216775,0.00129921502780563
1100106,1432.846252976,24.5765017643113,2,0,0.0983771268811568,0.00155635803333472
1100114,2087.3047965648,46.4477966266664,2,0.025978352085154,0.206304276664163,0.013269330031899
1100122,2631.59952152736,115.206875388186,2,-0.0240999270514668,0.253262135770521,0.0125842451427855
1100130,1071.69348031818,-166.018744418338,1.9,0.0571882797418488,0.0902115251809602,0.00220225590164925
1100148,1231.73175619532,-30.1885750633934,1.9,0.0571882797418488,0.0913045603401926,0.00257429216825042
1100155,2000.55035773253,145.606504167468,2,0.025978352085154,0.172096862960925,0.0090906001551611
1100189,2741.94433770654,232.984554392887,1.9,0.0274023338281628,0.245539880331558,0.000820011620815478
1100205,1823.9527573908,-22.3590039879507,3.4,0.0150384378451045,0.323809358825556,-0.00649183949594795
1100254,1870.26637127106,109.149391930019,1.9,0.0274023338281628,0.139007676850945,0.0123341200210317
1100262,1101.26242277733,88.8897865865542,2.1,0.0246950765959599,0.118184260005372,0.00843249939582585
1100288,2244.89049760521,15.922588912726,1.9,0.0571882797418488,0.226371979086688,0.011587090771637
1100296,1622.17961952514,201.187872427006,1.7,-0.02817468419245,0.12387553458192,0.0120095204600583
1100304,2843.56785157212,32.9098525021518,2.1,0.0246950765959599,0.232051966176833,0.00328397018106133
1100320,1399.85172910034,128.414164146997,1.8,0,0.157167153634818,0.0129116868801711
1100338,873.743993010048,-108.16428026015,1.8,0.0606601717798212,0.0678831871492422,-0.00226438766763691
1100346,1426.4366254585,35.7836896077247,1.6,0,0.101684553729113,0.00685339980858674
1100379,1217.20722764043,122.646349473757,1.8,0,0.0831632267331972,0.00302662158499353
1100403,1004.80975284537,-175.800189453146,2,0.025978352085154,0.0692890137625601,-0.00488099265685986
1100452,1453.63022318104,-108.035343546023,1.9,0.0571882797418488,0.101035005264915,-0.00576338163282203
1100502,1382.69912010056,154.985029000186,1.8,0.0606601717798212,0.106159296080448,0.0120403802516205
1100601,856.219709208401,-164.344152255793,2.1,-0.0229915790816057,0.0767366720516963,0.00141791507168537
1100700,935.11314155186,35.621221744301,2.2,0.023532631438318,0.0656720679563138,0.00482990328288032
1100809,1039.14097679252,-46.7954649190044,2,0,0.0857483739368048,-0.00227327045301431
1100908,801.538954793203,65.8546015942013,5.3,0.765686002329839,0.140109009297852,0.0297251716877203
1100924,1818.84989895278,65.1563273227832,2,0,0.234613264743708,0.0589797315613559
1100940,1118.63287377198,-149.70750418215,2,0.025978352085154,0.0620820605960538,-0.00558419990455136
1101005,963.557751698579,-26.6274465105211,1.7,0,0.0972205064854849,0.0153373246209766
1101104,1246.10591900312,7.59259514902192,2,-0.0240999270514668,0.11672507788162,-0.00274036603210977
1101203,1198.52489244007,154.241122281598,1.8,-0.0513167019494862,0.0968039336201598,0.00422432913160781
1101302,2012.63537906137,145.089220242418,1.6,-0.029857499854668,0.125902527075812,0.0107900675678054
1101401,1153.23351385792,-59.6107879812214,1.6,0,0.0924498247849634,0.00231273674377908
1101435,1858.94706967504,89.2990864024247,1.6,0.0690449676496976,0.0940825883354619,0.00920137626111217
1101450,773.499243315958,-35.5185617270608,1.9,-0.0253205655191037,0.0808811165293425,-0.00170008289355004
1101468,1277.9552715655,101.120788451345,1.9,0,0.156549520766773,0.015180014831049
1101476,1156.85607349439,-72.6136299194739,1.7,0,0.120789384144267,0.0109155254054667
1101484,1231.06060606061,53.3609908609909,1.7,0.0307764064044151,0.102840909090909,0.0124819624819625
1101492,1799.21378893257,59.9437931383243,1.7,0,0.086886402580385,0.00370775975658016
1101500,1281.61888701518,46.3733652005425,1.9,0.0274023338281628,0.110202360876897,0.00259266018799283
1101559,1140.51094890511,36.6267994626232,1.8,0,0.119753649635036,0.0106420282005227
1101609,743.281875357347,94.0589849116661,1.9,0.0274023338281628,0.0770916714312941,0.00686624459826952
1101708,1414.48778396914,169.28359496987,1.8,0,0.130132876125161,0.0194155818722485
1101757,743.561842582517,-64.6223881005043,1.9,0,0.0704570184983678,0.00408931477695915
1101807,1043.15518719634,159.080665606035,1.7,0.0307764064044151,0.098313803943984,0.0105724831958799
1200013,765.645805592543,-38.5651991867313,2,0.025978352085154,0.0578561917443409,-0.00138351885870775
1200054,671.232876712329,-28.6557458198519,2.2,0.105541596785133,0.0601369863013699,-0.000166098135924424
1200104,920.767564221603,-62.0134866152894,1.8,0.0606601717798212,0.092695759826679,-0.00245718775150355
1200138,613.19355157749,-30.1389918635754,1.6,0.0327955589886444,0.139155375333795,0.0136479812583949
1200179,453.91061452514,0.522774915065213,2.4,0.044465935734187,0.0469622905027933,-0.00230443700368653
