"city_code","pop.white","pop.black","pop.asian","pop.pardos","pop.indigenous","pop.others"
4311502,76.17,9.45,0.43,13.89,0.06,0
4311601,72.65,3.49,0.07,17.59,6.2,0
4311627,88.26,2.21,0.05,9.47,0,0
4311643,97.91,0.48,0,1.62,0,0
4311700,80.02,2.82,1.25,15.42,0.49,0
4311718,79.6,5.01,0.44,14.96,0,0
4311734,84.11,0.99,0.51,14.4,0,0
4311759,82.67,4.58,0.6,12.04,0.12,0
4311775,88.08,4.57,0.2,6.82,0.33,0
4311791,96.07,0.85,0.14,2.95,0,0
4311809,87.09,2.07,0.41,10.43,0,0
4311908,84.93,1.03,0.52,13.47,0.04,0
4311981,91.62,2.32,0.14,5.69,0.23,0
4312005,92.91,0.21,0.14,6.74,0,0
4312054,94.36,0.21,0,5.43,0,0
4312104,82.26,3.03,0.45,14.27,0,0
4312138,85.38,0.64,0.49,9.54,3.94,0
4312153,95.04,1.67,0,3.28,0,0
4312179,81.58,0.91,0,17.52,0,0
4312203,79.42,3.73,0.23,16.62,0,0
4312252,85.87,4.48,0,9.65,0,0
4312302,80.29,2.25,0.05,15.31,2.09,0
4312351,98.93,0,0,1.07,0,0
4312377,67.48,5.41,2.61,24.49,0,0
4312385,97.79,0.37,0,1.84,0,0
4312401,88.1,4.35,0.27,7.27,0,0
4312427,85.79,0.79,0.77,12.65,0,0
4312443,98.65,0.2,0,1.14,0,0
4312450,90.3,5.77,1.67,2.2,0.06,0
4312476,95.19,0.61,0,4.21,0,0
4312500,77.53,9.72,0.38,12.11,0.26,0
4312609,90.92,1.27,0.18,7.63,0,0
4312617,78.28,6.62,1.32,13.78,0,0
4312625,80.98,1.05,0.49,5.1,12.38,0
4312658,85.68,1.51,0.24,12.57,0,0
4312674,88.2,0.79,0.31,10.69,0,0
4312708,71.2,2.87,0.38,18.62,6.93,0
4312757,84.95,1.22,0.4,13.43,0,0
4312807,92.6,1.42,0,5.87,0.11,0
4312906,90.84,0.93,0,8.23,0,0
4312955,97.38,0.56,0,2.06,0,0
4313003,95.86,1.13,0.13,2.87,0,0
4313011,98.16,0,0,1.84,0,0
4313037,84.48,1.83,0.22,13.48,0,0
